module,path,loc,classification,reached_by_api_main,reached_by_research_api,reached_by_legacy_api,reached_by_evaluation,reached_by_scripts,reached_by_tests
backend.pipeline.control.canonical,backend/pipeline/control/canonical.py,233,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.claim_grammar,backend/pipeline/control/claim_grammar.py,162,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.contracts,backend/pipeline/control/contracts.py,365,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.events,backend/pipeline/control/events.py,211,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.metrics,backend/pipeline/control/metrics.py,127,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.projection,backend/pipeline/control/projection.py,172,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.recorder,backend/pipeline/control/recorder.py,98,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.rendering,backend/pipeline/control/rendering/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline.control.rendering.candidate,backend/pipeline/control/rendering/candidate.py,45,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.repair,backend/pipeline/control/repair.py,194,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.replay,backend/pipeline/control/replay.py,134,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.runner,backend/pipeline/control/runner.py,381,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.strategies,backend/pipeline/control/strategies/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline.control.strategies.agentic_plan,backend/pipeline/control/strategies/agentic_plan.py,52,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.strategies.fixed_plan,backend/pipeline/control/strategies/fixed_plan.py,160,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.strategies.protocol,backend/pipeline/control/strategies/protocol.py,50,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.strategies.tool_registry,backend/pipeline/control/strategies/tool_registry.py,74,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.verification,backend/pipeline/control/verification/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline.control.verification.dossier_invariants,backend/pipeline/control/verification/dossier_invariants.py,107,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.verification.source_port,backend/pipeline/control/verification/source_port.py,174,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control.verification.structural_text,backend/pipeline/control/verification/structural_text.py,274,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.cypher,backend/pipeline/cypher.py,321,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence,backend/pipeline/evidence/__init__.py,6,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence._normalize,backend/pipeline/evidence/_normalize.py,61,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.adapter_metrics,backend/pipeline/evidence/adapter_metrics.py,300,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus,backend/pipeline/evidence/corpus/__init__.py,12,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.corpus.atomic_write,backend/pipeline/evidence/corpus/atomic_write.py,320,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus.links_and_views,backend/pipeline/evidence/corpus/links_and_views.py,300,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus.loader,backend/pipeline/evidence/corpus/loader.py,447,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.corpus.materialization,backend/pipeline/evidence/corpus/materialization.py,520,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus.promotion,backend/pipeline/evidence/corpus/promotion.py,408,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus.promotion_contract,backend/pipeline/evidence/corpus/promotion_contract.py,265,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.corpus.prototype_registry,backend/pipeline/evidence/corpus/prototype_registry.py,244,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus.provenance_repair_pilot,backend/pipeline/evidence/corpus/provenance_repair_pilot.py,246,SHADOW_EVALUATION,False,False,False,False,True,True
backend.pipeline.evidence.corpus.rollback,backend/pipeline/evidence/corpus/rollback.py,191,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus_manifest,backend/pipeline/evidence/corpus_manifest.py,215,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.corpus_regeneration,backend/pipeline/evidence/corpus_regeneration.py,866,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.evidence_granularity,backend/pipeline/evidence/evidence_granularity.py,185,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.integrity,backend/pipeline/evidence/integrity/__init__.py,6,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.integrity.hash_policy,backend/pipeline/evidence/integrity/hash_policy.py,171,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.integrity.tree_hash_policy,backend/pipeline/evidence/integrity/tree_hash_policy.py,253,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.profile_unit,backend/pipeline/evidence/profile_unit.py,662,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.propagation_guards,backend/pipeline/evidence/propagation_guards.py,860,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.propagation_policy,backend/pipeline/evidence/propagation_policy.py,425,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.qualification,backend/pipeline/evidence/qualification.py,592,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.qualification_gold,backend/pipeline/evidence/qualification_gold.py,366,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.qualified_disease_matching,backend/pipeline/evidence/qualified_disease_matching.py,307,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.qualified_retrieval_errors,backend/pipeline/evidence/qualified_retrieval_errors.py,134,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.qualified_retrieval_policy,backend/pipeline/evidence/qualified_retrieval_policy.py,236,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.qualified_retrieval_query,backend/pipeline/evidence/qualified_retrieval_query.py,379,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.qualified_retrieval_result,backend/pipeline/evidence/qualified_retrieval_result.py,400,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.qualified_retrieval_scoring,backend/pipeline/evidence/qualified_retrieval_scoring.py,105,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.qualified_retriever,backend/pipeline/evidence/qualified_retriever.py,950,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.repository,backend/pipeline/evidence/repository.py,574,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval,backend/pipeline/evidence/retrieval/__init__.py,43,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.backends,backend/pipeline/evidence/retrieval/backends.py,260,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.diagnostics,backend/pipeline/evidence/retrieval/diagnostics.py,266,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.retrieval.legacy_backend,backend/pipeline/evidence/retrieval/legacy_backend.py,153,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.pipeline,backend/pipeline/evidence/retrieval/pipeline.py,239,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.v3_backend,backend/pipeline/evidence/retrieval/v3_backend.py,567,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.v3_objects,backend/pipeline/evidence/retrieval/v3_objects.py,254,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.v3_query,backend/pipeline/evidence/retrieval/v3_query.py,349,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.v3_result,backend/pipeline/evidence/retrieval/v3_result.py,453,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.retrieval.v3_scoring,backend/pipeline/evidence/retrieval/v3_scoring.py,285,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow,backend/pipeline/evidence/shadow/__init__.py,68,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.associations,backend/pipeline/evidence/shadow/associations.py,88,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.biomarker_expression,backend/pipeline/evidence/shadow/biomarker_expression.py,482,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.biomarker_query_direction,backend/pipeline/evidence/shadow/biomarker_query_direction.py,402,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.claims,backend/pipeline/evidence/shadow/claims.py,222,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.deprecation,backend/pipeline/evidence/shadow/deprecation.py,143,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.disease_gate,backend/pipeline/evidence/shadow/disease_gate.py,282,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.domain,backend/pipeline/evidence/shadow/domain.py,97,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.domain_gates,backend/pipeline/evidence/shadow/domain_gates.py,414,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.formulation,backend/pipeline/evidence/shadow/formulation.py,745,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.identity,backend/pipeline/evidence/shadow/identity.py,228,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.integrated_gates,backend/pipeline/evidence/shadow/integrated_gates.py,490,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.integrated_gates_v11,backend/pipeline/evidence/shadow/integrated_gates_v11.py,476,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.integrated_gates_v12,backend/pipeline/evidence/shadow/integrated_gates_v12.py,425,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.integrated_gates_v13,backend/pipeline/evidence/shadow/integrated_gates_v13.py,325,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.migration,backend/pipeline/evidence/shadow/migration.py,250,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.migration_v11,backend/pipeline/evidence/shadow/migration_v11.py,343,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.migration_v12,backend/pipeline/evidence/shadow/migration_v12.py,29,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.migration_v12_logic,backend/pipeline/evidence/shadow/migration_v12_logic.py,279,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.migration_v14,backend/pipeline/evidence/shadow/migration_v14.py,278,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.non_therapeutic_claims,backend/pipeline/evidence/shadow/non_therapeutic_claims.py,232,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.parent,backend/pipeline/evidence/shadow/parent.py,137,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.propagation,backend/pipeline/evidence/shadow/propagation.py,242,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.schema,backend/pipeline/evidence/shadow/schema.py,71,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.shadow_adapter,backend/pipeline/evidence/shadow/shadow_adapter.py,408,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.shadow_output,backend/pipeline/evidence/shadow/shadow_output.py,222,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.shadow_output_v11,backend/pipeline/evidence/shadow/shadow_output_v11.py,318,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.shadow_output_v12,backend/pipeline/evidence/shadow/shadow_output_v12.py,396,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.shadow.shadow_scoring,backend/pipeline/evidence/shadow/shadow_scoring.py,173,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.structural_gates,backend/pipeline/evidence/shadow/structural_gates.py,228,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.shadow.terminology_v13,backend/pipeline/evidence/shadow/terminology_v13.py,585,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.evidence.source_basis,backend/pipeline/evidence/source_basis.py,123,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.source_identity,backend/pipeline/evidence/source_identity.py,420,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.evidence.v2_adapter,backend/pipeline/evidence/v2_adapter.py,533,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.graph,backend/pipeline/graph.py,80,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.helpers,backend/pipeline/helpers.py,139,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.llm,backend/pipeline/llm/__init__.py,113,CANONICAL_RUNTIME,True,True,True,True,False,True
backend.pipeline.llm.context_budget,backend/pipeline/llm/context_budget.py,192,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.llm.credentials,backend/pipeline/llm/credentials.py,224,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.llm.model_capabilities,backend/pipeline/llm/model_capabilities.py,149,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.llm.model_registry,backend/pipeline/llm/model_registry.py,330,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.llm.model_resolver,backend/pipeline/llm/model_resolver.py,232,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.llm.ollama_adapter,backend/pipeline/llm/ollama_adapter.py,437,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.mappings,backend/pipeline/mappings.py,13,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.state,backend/pipeline/state.py,50,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.research_pipeline,backend/research_pipeline/__init__.py,1,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext,backend/research_pipeline/casecontext/__init__.py,0,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.contradictions,backend/research_pipeline/casecontext/contradictions.py,220,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.control_instructions,backend/research_pipeline/casecontext/control_instructions.py,134,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.match_verifier,backend/research_pipeline/casecontext/match_verifier.py,113,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.mentions,backend/research_pipeline/casecontext/mentions.py,328,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.parser,backend/research_pipeline/casecontext/parser.py,30,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.pipeline,backend/research_pipeline/casecontext/pipeline.py,87,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.prompt,backend/research_pipeline/casecontext/prompt.py,91,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.casecontext.semantic_verifier,backend/research_pipeline/casecontext/semantic_verifier.py,164,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.cases,backend/research_pipeline/cases/__init__.py,0,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.research_pipeline.cases.definitions,backend/research_pipeline/cases/definitions.py,84,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.contracts,backend/research_pipeline/contracts.py,341,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.data_access,backend/research_pipeline/data_access.py,197,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.determinism,backend/research_pipeline/determinism/__init__.py,0,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.determinism.check_origin,backend/research_pipeline/determinism/check_origin.py,169,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.determinism.gates,backend/research_pipeline/determinism/gates.py,76,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.documents,backend/research_pipeline/documents/__init__.py,0,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.documents.authorized_cache,backend/research_pipeline/documents/authorized_cache.py,513,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.documents.cache_runtime,backend/research_pipeline/documents/cache_runtime.py,231,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.documents.live_resolution,backend/research_pipeline/documents/live_resolution.py,341,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.documents.models,backend/research_pipeline/documents/models.py,241,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.documents.parsers,backend/research_pipeline/documents/parsers.py,261,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.dossier,backend/research_pipeline/dossier/__init__.py,0,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.dossier.builder,backend/research_pipeline/dossier/builder.py,39,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.eligibility,backend/research_pipeline/eligibility/__init__.py,8,SHADOW_EVALUATION,False,False,False,True,False,True
backend.research_pipeline.eligibility.gate,backend/research_pipeline/eligibility/gate.py,267,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.enrichment,backend/research_pipeline/enrichment/__init__.py,0,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.enrichment.enricher_v2,backend/research_pipeline/enrichment/enricher_v2.py,67,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.enrichment.prompt_v1,backend/research_pipeline/enrichment/prompt_v1.py,118,TEST_ONLY,False,False,False,False,False,True
backend.research_pipeline.enrichment.prompt_v1_1,backend/research_pipeline/enrichment/prompt_v1_1.py,106,TEST_ONLY,False,False,False,False,False,True
backend.research_pipeline.enrichment.prompt_v2,backend/research_pipeline/enrichment/prompt_v2.py,120,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.enrichment.transport,backend/research_pipeline/enrichment/transport.py,134,CANONICAL_RUNTIME,True,True,False,True,False,True
backend.research_pipeline.enrichment.transport_v2,backend/research_pipeline/enrichment/transport_v2.py,82,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.research_pipeline.enrichment.validator,backend/research_pipeline/enrichment/validator.py,98,CANONICAL_RUNTIME,True,True,False,False,False,True
