gene_claim_name	nomenclature	concept_id	gene_name	source_db_name	source_db_version
BRAF	Gene Symbol	hgnc:1097	BRAF	CarisMolecularIntelligence	9/4/20
CDK6	Gene Symbol	hgnc:1777	CDK6	CarisMolecularIntelligence	9/4/20
CASP8	Gene Symbol	hgnc:1509	CASP8	CarisMolecularIntelligence	9/4/20
BRD4	Gene Symbol	hgnc:13575	BRD4	CarisMolecularIntelligence	9/4/20
BCL11B	Gene Symbol	hgnc:13222	BCL11B	CarisMolecularIntelligence	9/4/20
CCND1	Gene Symbol	hgnc:1582	CCND1	CarisMolecularIntelligence	9/4/20
BMPR1A	Gene Symbol	hgnc:1076	BMPR1A	CarisMolecularIntelligence	9/4/20
CDKN1B	Gene Symbol	hgnc:1785	CDKN1B	CarisMolecularIntelligence	9/4/20
CANT1	Gene Symbol	hgnc:19721	CANT1	CarisMolecularIntelligence	9/4/20
BARD1	Gene Symbol	hgnc:952	BARD1	CarisMolecularIntelligence	9/4/20
BCR	Gene Symbol	hgnc:1014	BCR	CarisMolecularIntelligence	9/4/20
CACNA1D	Gene Symbol	hgnc:1391	CACNA1D	CarisMolecularIntelligence	9/4/20
CBFB	Gene Symbol	hgnc:1539	CBFB	CarisMolecularIntelligence	9/4/20
BCL2	Gene Symbol	hgnc:990	BCL2	CarisMolecularIntelligence	9/4/20
CDC73	Gene Symbol	hgnc:16783	CDC73	CarisMolecularIntelligence	9/4/20
CBLB	Gene Symbol	hgnc:1542	CBLB	CarisMolecularIntelligence	9/4/20
CDK4	Gene Symbol	hgnc:1773	CDK4	CarisMolecularIntelligence	9/4/20
BCOR	Gene Symbol	hgnc:20893	BCOR	CarisMolecularIntelligence	9/4/20
BCORL1	Gene Symbol	hgnc:25657	BCORL1	CarisMolecularIntelligence	9/4/20
AURKB	Gene Symbol	hgnc:11390	AURKB	CarisMolecularIntelligence	9/4/20
CARD11	Gene Symbol	hgnc:16393	CARD11	CarisMolecularIntelligence	9/4/20
BUB1B	Gene Symbol	hgnc:1149	BUB1B	CarisMolecularIntelligence	9/4/20
CCND3	Gene Symbol	hgnc:1585	CCND3	CarisMolecularIntelligence	9/4/20
AURKA	Gene Symbol	hgnc:11393	AURKA	CarisMolecularIntelligence	9/4/20
CD74	Gene Symbol	hgnc:1697	CD74	CarisMolecularIntelligence	9/4/20
BCL10	Gene Symbol	hgnc:989	BCL10	CarisMolecularIntelligence	9/4/20
CD79A	Gene Symbol	hgnc:1698	CD79A	CarisMolecularIntelligence	9/4/20
BRCA2	Gene Symbol	hgnc:1101	BRCA2	CarisMolecularIntelligence	9/4/20
CDK12	Gene Symbol	hgnc:24224	CDK12	CarisMolecularIntelligence	9/4/20
BCL9	Gene Symbol	hgnc:1008	BCL9	CarisMolecularIntelligence	9/4/20
BCL2L2	Gene Symbol	hgnc:995	BCL2L2	CarisMolecularIntelligence	9/4/20
BCL11A	Gene Symbol	hgnc:13221	BCL11A	CarisMolecularIntelligence	9/4/20
AXIN1	Gene Symbol	hgnc:903	AXIN1	CarisMolecularIntelligence	9/4/20
BAP1	Gene Symbol	hgnc:950	BAP1	CarisMolecularIntelligence	9/4/20
BTG1	Gene Symbol	hgnc:1130	BTG1	CarisMolecularIntelligence	9/4/20
CDH11	Gene Symbol	hgnc:1750	CDH11	CarisMolecularIntelligence	9/4/20
BRIP1	Gene Symbol	hgnc:20473	BRIP1	CarisMolecularIntelligence	9/4/20
CCND2	Gene Symbol	hgnc:1583	CCND2	CarisMolecularIntelligence	9/4/20
ATP2B3	Gene Symbol	hgnc:816	ATP2B3	CarisMolecularIntelligence	9/4/20
BIRC3	Gene Symbol	hgnc:591	BIRC3	CarisMolecularIntelligence	9/4/20
CBLC	Gene Symbol	hgnc:15961	CBLC	CarisMolecularIntelligence	9/4/20
CD274	Gene Symbol	hgnc:17635	CD274	CarisMolecularIntelligence	9/4/20
BCL3	Gene Symbol	hgnc:998	BCL3	CarisMolecularIntelligence	9/4/20
ATRX	Gene Symbol	hgnc:886	ATRX	CarisMolecularIntelligence	9/4/20
BCL2L11	Gene Symbol	hgnc:994	BCL2L11	CarisMolecularIntelligence	9/4/20
BTK	Gene Symbol	hgnc:1133	BTK	CarisMolecularIntelligence	9/4/20
BCL7A	Gene Symbol	hgnc:1004	BCL7A	CarisMolecularIntelligence	9/4/20
ELL	Gene Symbol	hgnc:23114	ELL	CarisMolecularIntelligence	9/4/20
CEBPA	Gene Symbol	hgnc:1833	CEBPA	CarisMolecularIntelligence	9/4/20
CREB1	Gene Symbol	hgnc:2345	CREB1	CarisMolecularIntelligence	9/4/20
EBF1	Gene Symbol	hgnc:3126	EBF1	CarisMolecularIntelligence	9/4/20
CHN1	Gene Symbol	hgnc:1943	CHN1	CarisMolecularIntelligence	9/4/20
CTNNB1	Gene Symbol	hgnc:2514	CTNNB1	CarisMolecularIntelligence	9/4/20
ECT2L	Gene Symbol	hgnc:21118	ECT2L	CarisMolecularIntelligence	9/4/20
CLTCL1	Gene Symbol	hgnc:2093	CLTCL1	CarisMolecularIntelligence	9/4/20
DDR2	Gene Symbol	hgnc:2731	DDR2	CarisMolecularIntelligence	9/4/20
DEK	Gene Symbol	hgnc:2768	DEK	CarisMolecularIntelligence	9/4/20
DNM2	Gene Symbol	hgnc:2974	DNM2	CarisMolecularIntelligence	9/4/20
ELK4	Gene Symbol	hgnc:3326	ELK4	CarisMolecularIntelligence	9/4/20
CDKN2B	Gene Symbol	hgnc:1788	CDKN2B	CarisMolecularIntelligence	9/4/20
EPHB1	Gene Symbol	hgnc:3392	EPHB1	CarisMolecularIntelligence	9/4/20
CIC	Gene Symbol	hgnc:14214	CIC	CarisMolecularIntelligence	9/4/20
CTLA4	Gene Symbol	hgnc:2505	CTLA4	CarisMolecularIntelligence	9/4/20
EMSY	Gene Symbol	hgnc:18071	EMSY	CarisMolecularIntelligence	9/4/20
CRKL	Gene Symbol	hgnc:2363	CRKL	CarisMolecularIntelligence	9/4/20
CDKN2C	Gene Symbol	hgnc:1789	CDKN2C	CarisMolecularIntelligence	9/4/20
CSF3R	Gene Symbol	hgnc:2439	CSF3R	CarisMolecularIntelligence	9/4/20
COL1A1	Gene Symbol	hgnc:2197	COL1A1	CarisMolecularIntelligence	9/4/20
CHIC2	Gene Symbol	hgnc:1935	CHIC2	CarisMolecularIntelligence	9/4/20
CRTC3	Gene Symbol	hgnc:26148	CRTC3	CarisMolecularIntelligence	9/4/20
CTCF	Gene Symbol	hgnc:13723	CTCF	CarisMolecularIntelligence	9/4/20
EP300	Gene Symbol	hgnc:3373	EP300	CarisMolecularIntelligence	9/4/20
CRTC1	Gene Symbol	hgnc:16062	CRTC1	CarisMolecularIntelligence	9/4/20
CREB3L1	Gene Symbol	hgnc:18856	CREB3L1	CarisMolecularIntelligence	9/4/20
DAXX	Gene Symbol	hgnc:2681	DAXX	CarisMolecularIntelligence	9/4/20
EPHA3	Gene Symbol	hgnc:3387	EPHA3	CarisMolecularIntelligence	9/4/20
EPHA5	Gene Symbol	hgnc:3389	EPHA5	CarisMolecularIntelligence	9/4/20
DDX5	Gene Symbol	hgnc:2746	DDX5	CarisMolecularIntelligence	9/4/20
COPB1	Gene Symbol	hgnc:2231	COPB1	CarisMolecularIntelligence	9/4/20
CNBP	Gene Symbol	hgnc:13164	CNBP	CarisMolecularIntelligence	9/4/20
CDX2	Gene Symbol	hgnc:1806	CDX2	CarisMolecularIntelligence	9/4/20
CDKN2A	Gene Symbol	hgnc:1787	CDKN2A	CarisMolecularIntelligence	9/4/20
CRLF2	Gene Symbol	hgnc:14281	CRLF2	CarisMolecularIntelligence	9/4/20
CLTC	Gene Symbol	hgnc:2092	CLTC	CarisMolecularIntelligence	9/4/20
CNOT3	Gene Symbol	hgnc:7879	CNOT3	CarisMolecularIntelligence	9/4/20
DDIT3	Gene Symbol	hgnc:2726	DDIT3	CarisMolecularIntelligence	9/4/20
DDX6	Gene Symbol	hgnc:2747	DDX6	CarisMolecularIntelligence	9/4/20
CREBBP	Gene Symbol	hgnc:2348	CREBBP	CarisMolecularIntelligence	9/4/20
CIITA	Gene Symbol	hgnc:7067	CIITA	CarisMolecularIntelligence	9/4/20
DDB2	Gene Symbol	hgnc:2718	DDB2	CarisMolecularIntelligence	9/4/20
CREB3L2	Gene Symbol	hgnc:23720	CREB3L2	CarisMolecularIntelligence	9/4/20
DOT1L	Gene Symbol	hgnc:24948	DOT1L	CarisMolecularIntelligence	9/4/20
CLP1	Gene Symbol	hgnc:16999	CLP1	CarisMolecularIntelligence	9/4/20
ELF4	Gene Symbol	hgnc:3319	ELF4	CarisMolecularIntelligence	9/4/20
EGFR	Gene Symbol	hgnc:3236	EGFR	CarisMolecularIntelligence	9/4/20
FH	Gene Symbol	hgnc:3700	FH	CarisMolecularIntelligence	9/4/20
FUBP1	Gene Symbol	hgnc:4004	FUBP1	CarisMolecularIntelligence	9/4/20
FOXO3	Gene Symbol	hgnc:3821	FOXO3	CarisMolecularIntelligence	9/4/20
ETV4	Gene Symbol	hgnc:3493	ETV4	CarisMolecularIntelligence	9/4/20
EXT1	Gene Symbol	hgnc:3512	EXT1	CarisMolecularIntelligence	9/4/20
FUS	Gene Symbol	hgnc:4010	FUS	CarisMolecularIntelligence	9/4/20
FHIT	Gene Symbol	hgnc:3701	FHIT	CarisMolecularIntelligence	9/4/20
FNBP1	Gene Symbol	hgnc:17069	FNBP1	CarisMolecularIntelligence	9/4/20
FGR	Gene Symbol	hgnc:3697	FGR	CarisMolecularIntelligence	9/4/20
MRCB	Gene Symbol	NULL	NULL	ChEMBL	33
ERCC3	Gene Symbol	hgnc:3435	ERCC3	CarisMolecularIntelligence	9/4/20
GATA1	Gene Symbol	hgnc:4170	GATA1	CarisMolecularIntelligence	9/4/20
FANCF	Gene Symbol	hgnc:3587	FANCF	CarisMolecularIntelligence	9/4/20
FANCA	Gene Symbol	hgnc:3582	FANCA	CarisMolecularIntelligence	9/4/20
FGFR3	Gene Symbol	hgnc:3690	FGFR3	CarisMolecularIntelligence	9/4/20
ETV5	Gene Symbol	hgnc:3494	ETV5	CarisMolecularIntelligence	9/4/20
EWSR1	Gene Symbol	hgnc:3508	EWSR1	CarisMolecularIntelligence	9/4/20
FOXO4	Gene Symbol	hgnc:7139	FOXO4	CarisMolecularIntelligence	9/4/20
FGF14	Gene Symbol	hgnc:3671	FGF14	CarisMolecularIntelligence	9/4/20
ETV6	Gene Symbol	hgnc:3495	ETV6	CarisMolecularIntelligence	9/4/20
FBXW7	Gene Symbol	hgnc:16712	FBXW7	CarisMolecularIntelligence	9/4/20
FANCC	Gene Symbol	hgnc:3584	FANCC	CarisMolecularIntelligence	9/4/20
FAS	Gene Symbol	hgnc:11920	FAS	CarisMolecularIntelligence	9/4/20
FOXP1	Gene Symbol	hgnc:3823	FOXP1	CarisMolecularIntelligence	9/4/20
FGFR2	Gene Symbol	hgnc:3689	FGFR2	CarisMolecularIntelligence	9/4/20
ERCC1	Gene Symbol	hgnc:3433	ERCC1	CarisMolecularIntelligence	9/4/20
ETV1	Gene Symbol	hgnc:3490	ETV1	CarisMolecularIntelligence	9/4/20
FLCN	Gene Symbol	hgnc:27310	FLCN	CarisMolecularIntelligence	9/4/20
EZH2	Gene Symbol	hgnc:3527	EZH2	CarisMolecularIntelligence	9/4/20
ERC1	Gene Symbol	hgnc:17072	ERC1	CarisMolecularIntelligence	9/4/20
FAM46C	Gene Symbol	hgnc:24712	TENT5C	CarisMolecularIntelligence	9/4/20
FOXL2	Gene Symbol	hgnc:1092	FOXL2	CarisMolecularIntelligence	9/4/20
FGFR4	Gene Symbol	hgnc:3691	FGFR4	CarisMolecularIntelligence	9/4/20
FANCL	Gene Symbol	hgnc:20748	FANCL	CarisMolecularIntelligence	9/4/20
FGFR1OP	Gene Symbol	hgnc:17012	CEP43	CarisMolecularIntelligence	9/4/20
ERG	Gene Symbol	hgnc:3446	ERG	CarisMolecularIntelligence	9/4/20
FEV	Gene Symbol	hgnc:18562	FEV	CarisMolecularIntelligence	9/4/20
ERCC4	Gene Symbol	hgnc:3436	ERCC4	CarisMolecularIntelligence	9/4/20
FLT4	Gene Symbol	hgnc:3767	FLT4	CarisMolecularIntelligence	9/4/20
EXT2	Gene Symbol	hgnc:3513	EXT2	CarisMolecularIntelligence	9/4/20
FGF3	Gene Symbol	hgnc:3681	FGF3	CarisMolecularIntelligence	9/4/20
FOXA1	Gene Symbol	hgnc:5021	FOXA1	CarisMolecularIntelligence	9/4/20
ERBB4	Gene Symbol	hgnc:3432	ERBB4	CarisMolecularIntelligence	9/4/20
EZR	Gene Symbol	hgnc:12691	EZR	CarisMolecularIntelligence	9/4/20
GAS7	Gene Symbol	hgnc:4169	GAS7	CarisMolecularIntelligence	9/4/20
ERBB3	Gene Symbol	hgnc:3431	ERBB3	CarisMolecularIntelligence	9/4/20
FANCE	Gene Symbol	hgnc:3586	FANCE	CarisMolecularIntelligence	9/4/20
ERCC5	Gene Symbol	hgnc:3437	ERCC5	CarisMolecularIntelligence	9/4/20
FGF23	Gene Symbol	hgnc:3680	FGF23	CarisMolecularIntelligence	9/4/20
HMGA2	Gene Symbol	hgnc:5009	HMGA2	CarisMolecularIntelligence	9/4/20
IL6ST	Gene Symbol	hgnc:6021	IL6ST	CarisMolecularIntelligence	9/4/20
GMPS	Gene Symbol	hgnc:4378	GMPS	CarisMolecularIntelligence	9/4/20
GPHN	Gene Symbol	hgnc:15465	GPHN	CarisMolecularIntelligence	9/4/20
KDM6A	Gene Symbol	hgnc:12637	KDM6A	CarisMolecularIntelligence	9/4/20
HEY1	Gene Symbol	hgnc:4880	HEY1	CarisMolecularIntelligence	9/4/20
GPC3	Gene Symbol	hgnc:4451	GPC3	CarisMolecularIntelligence	9/4/20
HOXC13	Gene Symbol	hgnc:5125	HOXC13	CarisMolecularIntelligence	9/4/20
IKZF1	Gene Symbol	hgnc:13176	IKZF1	CarisMolecularIntelligence	9/4/20
KDM5A	Gene Symbol	hgnc:9886	KDM5A	CarisMolecularIntelligence	9/4/20
GID4	Gene Symbol	hgnc:28453	GID4	CarisMolecularIntelligence	9/4/20
HIST1H4I	Gene Symbol	hgnc:4793	H4C9	CarisMolecularIntelligence	9/4/20
IL21R	Gene Symbol	hgnc:6006	IL21R	CarisMolecularIntelligence	9/4/20
HOXA11	Gene Symbol	hgnc:5101	HOXA11	CarisMolecularIntelligence	9/4/20
IGF1R	Gene Symbol	hgnc:5465	IGF1R	CarisMolecularIntelligence	9/4/20
HIST1H3B	Gene Symbol	hgnc:4776	H3C2	CarisMolecularIntelligence	9/4/20
IDH1	Gene Symbol	hgnc:5382	IDH1	CarisMolecularIntelligence	9/4/20
HOXA9	Gene Symbol	hgnc:5109	HOXA9	CarisMolecularIntelligence	9/4/20
IRS2	Gene Symbol	hgnc:6126	IRS2	CarisMolecularIntelligence	9/4/20
GOPC	Gene Symbol	hgnc:17643	GOPC	CarisMolecularIntelligence	9/4/20
INHBA	Gene Symbol	hgnc:6066	INHBA	CarisMolecularIntelligence	9/4/20
IL7R	Gene Symbol	hgnc:6024	IL7R	CarisMolecularIntelligence	9/4/20
HOXC11	Gene Symbol	hgnc:5123	HOXC11	CarisMolecularIntelligence	9/4/20
H3F3B	Gene Symbol	hgnc:4765	H3-3B	CarisMolecularIntelligence	9/4/20
HSP90AB1	Gene Symbol	hgnc:5258	HSP90AB1	CarisMolecularIntelligence	9/4/20
ITK	Gene Symbol	hgnc:6171	ITK	CarisMolecularIntelligence	9/4/20
HRAS	Gene Symbol	hgnc:5173	HRAS	CarisMolecularIntelligence	9/4/20
HOXA13	Gene Symbol	hgnc:5102	HOXA13	CarisMolecularIntelligence	9/4/20
GNA13	Gene Symbol	hgnc:4381	GNA13	CarisMolecularIntelligence	9/4/20
GNAS	Gene Symbol	hgnc:4392	GNAS	CarisMolecularIntelligence	9/4/20
JUN	Gene Symbol	hgnc:6204	JUN	CarisMolecularIntelligence	9/4/20
GOLGA5	Gene Symbol	hgnc:4428	GOLGA5	CarisMolecularIntelligence	9/4/20
HIP1	Gene Symbol	hgnc:4913	HIP1	CarisMolecularIntelligence	9/4/20
IL2	Gene Symbol	hgnc:6001	IL2	CarisMolecularIntelligence	9/4/20
JAK3	Gene Symbol	hgnc:6193	JAK3	CarisMolecularIntelligence	9/4/20
HMGA1	Gene Symbol	hgnc:5010	HMGA1	CarisMolecularIntelligence	9/4/20
HNRNPA2B1	Gene Symbol	hgnc:5033	HNRNPA2B1	CarisMolecularIntelligence	9/4/20
JAK1	Gene Symbol	hgnc:6190	JAK1	CarisMolecularIntelligence	9/4/20
IDH2	Gene Symbol	hgnc:5383	IDH2	CarisMolecularIntelligence	9/4/20
IRF4	Gene Symbol	hgnc:6119	IRF4	CarisMolecularIntelligence	9/4/20
GATA3	Gene Symbol	hgnc:4172	GATA3	CarisMolecularIntelligence	9/4/20
HOOK3	Gene Symbol	hgnc:23576	HOOK3	CarisMolecularIntelligence	9/4/20
JAZF1	Gene Symbol	hgnc:28917	JAZF1	CarisMolecularIntelligence	9/4/20
JAK2	Gene Symbol	hgnc:6192	JAK2	CarisMolecularIntelligence	9/4/20
KDR	Gene Symbol	hgnc:6307	KDR	CarisMolecularIntelligence	9/4/20
KCNJ5	Gene Symbol	hgnc:6266	KCNJ5	CarisMolecularIntelligence	9/4/20
GNAQ	Gene Symbol	hgnc:4390	GNAQ	CarisMolecularIntelligence	9/4/20
KAT6B	Gene Symbol	hgnc:17582	KAT6B	CarisMolecularIntelligence	9/4/20
MDM4	Gene Symbol	hgnc:6974	MDM4	CarisMolecularIntelligence	9/4/20
KDSR	Gene Symbol	hgnc:4021	KDSR	CarisMolecularIntelligence	9/4/20
MSMB	Gene Symbol	hgnc:7372	MSMB	CarisMolecularIntelligence	9/4/20
MAX	Gene Symbol	hgnc:6913	MAX	CarisMolecularIntelligence	9/4/20
KLHL6	Gene Symbol	hgnc:18653	KLHL6	CarisMolecularIntelligence	9/4/20
MLF1	Gene Symbol	hgnc:7125	MLF1	CarisMolecularIntelligence	9/4/20
KMT2C	Gene Symbol	hgnc:13726	KMT2C	CarisMolecularIntelligence	9/4/20
MAP2K1	Gene Symbol	hgnc:6840	MAP2K1	CarisMolecularIntelligence	9/4/20
LMO1	Gene Symbol	hgnc:6641	LMO1	CarisMolecularIntelligence	9/4/20
MLH1	Gene Symbol	hgnc:7127	MLH1	CarisMolecularIntelligence	9/4/20
MAFB	Gene Symbol	hgnc:6408	MAFB	CarisMolecularIntelligence	9/4/20
MAML2	Gene Symbol	hgnc:16259	MAML2	CarisMolecularIntelligence	9/4/20
MPL	Gene Symbol	hgnc:7217	MPL	CarisMolecularIntelligence	9/4/20
MLLT10	Gene Symbol	hgnc:16063	MLLT10	CarisMolecularIntelligence	9/4/20
MCL1	Gene Symbol	hgnc:32041	ADAMTSL4-AS1	CarisMolecularIntelligence	9/4/20
LYL1	Gene Symbol	hgnc:6734	LYL1	CarisMolecularIntelligence	9/4/20
MLLT6	Gene Symbol	hgnc:7138	MLLT6	CarisMolecularIntelligence	9/4/20
MAP3K1	Gene Symbol	hgnc:6848	MAP3K1	CarisMolecularIntelligence	9/4/20
MAP2K4	Gene Symbol	hgnc:6844	MAP2K4	CarisMolecularIntelligence	9/4/20
MLLT11	Gene Symbol	hgnc:16997	MLLT11	CarisMolecularIntelligence	9/4/20
MNX1	Gene Symbol	hgnc:4979	MNX1	CarisMolecularIntelligence	9/4/20
MITF	Gene Symbol	hgnc:7105	MITF	CarisMolecularIntelligence	9/4/20
