nct_id,drug_name_raw,drug_name_normalized
NCT04545710,Abemaciclib,ABEMACICLIB
NCT04545710,Osimertinib,OSIMERTINIB
NCT06455072,Serplulimab,SERPLULIMAB
NCT04868877,Osimertinib,OSIMERTINIB
NCT07092202,Firmonertinib,FIRMONERTINIB
NCT03874026,Folfiri/Cetuximab,CETUXIMAB
NCT05299125,Amivantamab,AMIVANTAMAB
NCT05299125,Lazertinib,LAZERTINIB
NCT05374603,Savolitinib,SAVOLITINIB
NCT05374603,Durvalumab,DURVALUMAB
NCT03448042,Trastuzumab,TRASTUZUMAB
NCT03448042,Tocilizumab,TOCILIZUMAB
NCT05548127,Abemaciclib,ABEMACICLIB
NCT03769103,Osimertinib,OSIMERTINIB
NCT05351788,Carboplatin,CARBOPLATIN
NCT05351788,Cisplatin,CISPLATIN
NCT06035016,pyrotinib combined with Capecitabine,PYROTINIB
NCT06035016,pyrotinib combined with Capecitabine,CAPECITABINE
NCT04027647,Dacomitinib,DACOMITINIB
NCT05883852,carboplatin,CARBOPLATIN
NCT05883852,Trastuzumab,TRASTUZUMAB
NCT05883852,Epirubicin,EPIRUBICIN
NCT05883852,cyclophosphamide,CYCLOPHOSPHAMIDE
NCT04181060,Osimertinib,OSIMERTINIB
NCT04085887,Panitumumab-IRDye800,PANITUMUMAB
NCT03191149,Osimertinib,OSIMERTINIB
NCT06726148,ribociclib,RIBOCICLIB
NCT06726148,fulvestrant,FULVESTRANT
NCT07398326,anlotinib and sintilimab,ANLOTINIB
NCT07398326,anlotinib and sintilimab,SINTILIMAB
NCT05948813,Osimertinib,OSIMERTINIB
NCT06156527,Lazertinib,LAZERTINIB
NCT07461454,Capecitabine,CAPECITABINE
NCT07461454,Gemcitabine,GEMCITABINE
NCT07461454,Vinorelbine,VINORELBINE
NCT07461454,Sacituzumab govitecan,SACITUZUMAB GOVITECAN
NCT07503756,Capecitabine,CAPECITABINE
NCT07503756,Oxaliplatin,OXALIPLATIN
NCT05011487,Osimertinib,OSIMERTINIB
NCT05011487,Cisplatin,CISPLATIN
NCT04946968,Oral Dacomitinib,DACOMITINIB
NCT02496663,Necitumumab,NECITUMUMAB
NCT02496663,Osimertinib,OSIMERTINIB
NCT07493291,Palbociclib (Brand vs Generic) compartive,PALBOCICLIB
NCT05442060,Erlotinib (150 mg daily),ERLOTINIB
NCT07326566,silevertinib in combination with temozolomide,TEMOZOLOMIDE
NCT00902044,Fludarabine,FLUDARABINE
NCT00902044,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06343064,Vebreltinib,VEBRELTINIB
NCT03391843,FOLFOXIRI+Cetuximab regimen,CETUXIMAB
NCT07087223,Vebreltinib combined with Furmonertinib,VEBRELTINIB
NCT04765059,Osimertinib (AZD9291) pemetrexed cisplatin or carboplatin,OSIMERTINIB
NCT04765059,Osimertinib (AZD9291) pemetrexed cisplatin or carboplatin,CISPLATIN
NCT04765059,Osimertinib (AZD9291) pemetrexed cisplatin or carboplatin,CARBOPLATIN
NCT07143045,zorifertinib,ZORIFERTINIB
NCT06083922,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06083922,Bortezomib,BORTEZOMIB
NCT06083922,Dexamethasone,DEXAMETHASONE
NCT05063552,Atezolizumab,ATEZOLIZUMAB
NCT05063552,Carboplatin,CARBOPLATIN
NCT05063552,Cetuximab,CETUXIMAB
NCT05063552,Cisplatin,CISPLATIN
NCT03782207,Atezolizumab,ATEZOLIZUMAB
NCT06462092,Sacituzumab Govitecan,SACITUZUMAB GOVITECAN
NCT05293964,Palbociclib,PALBOCICLIB
NCT05293964,everolimus,EVEROLIMUS
NCT06084481,Itraconazole (ITZ),ITRACONAZOLE
NCT06426511,Toripalimab+Chemotherapy,TORIPALIMAB
NCT04335292,Osimertinib First-Line,OSIMERTINIB
NCT04335292,Platinum + Pemetrexed Chemotherapy Second-Line,PLATINUM
NCT07217028,Cetuximab (EGFR inhibitor),CETUXIMAB
NCT03993873,elzovantinib (TPX-0022),ELZOVANTINIB
NCT07375316,Osimertinib + Sacituzumab Tirumotecan,OSIMERTINIB
NCT03334617,Durvalumab,DURVALUMAB
NCT03334617,Danvatirsen,DANVATIRSEN
NCT03334617,Ceralasertib,CERALASERTIB
NCT03334617,Vistusertib,VISTUSERTIB
NCT03334617,Olaparib,OLAPARIB
NCT03334617,Oleclumab,OLECLUMAB
NCT03334617,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT03334617,Cediranib,CEDIRANIB
NCT06071013,"Nintedanib, gefitinib, erlotinib, afatinib, osimertinib",GEFITINIB
NCT06071013,"Nintedanib, gefitinib, erlotinib, afatinib, osimertinib",ERLOTINIB
NCT06071013,"Nintedanib, gefitinib, erlotinib, afatinib, osimertinib",AFATINIB
NCT06071013,"Nintedanib, gefitinib, erlotinib, afatinib, osimertinib",OSIMERTINIB
NCT03333343,trametinib,TRAMETINIB
NCT03333343,ribociclib,RIBOCICLIB
NCT03333343,LXH254,LXH254
NCT03333343,gefitinib,GEFITINIB
NCT06509126,Panitumumab,PANITUMUMAB
NCT06509126,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT06509126,5-fluorouracil,FLUOROURACIL
NCT04085315,Osimertinib,OSIMERTINIB
NCT04085315,Alisertib,ALISERTIB
NCT04481932,Trastuzumab combined with Pyrotinib and chemotherapy,TRASTUZUMAB
NCT04481932,Trastuzumab combined with Pyrotinib and chemotherapy,PYROTINIB
NCT06490536,Oxaliplatin,OXALIPLATIN
NCT06490536,Capecitabine,CAPECITABINE
NCT06490536,Fluorouracil,FLUOROURACIL
NCT06490536,Temozolomide,TEMOZOLOMIDE
NCT06490536,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT06490536,Nivolumab,NIVOLUMAB
NCT06490536,Ipilimumab,IPILIMUMAB
NCT06490536,Trastuzumab,TRASTUZUMAB
NCT06490536,Panitumumab,PANITUMUMAB
NCT05773092,Oral S-1 + Oral Osimertinib,OSIMERTINIB
NCT05910398,pyrotinib,PYROTINIB
NCT04285671,Necitumumab,NECITUMUMAB
NCT04285671,Osimertinib,OSIMERTINIB
NCT04285671,Trastuzumab,TRASTUZUMAB
NCT03065387,Everolimus,EVEROLIMUS
NCT03065387,Neratinib,NERATINIB
NCT03065387,Palbociclib,PALBOCICLIB
NCT03065387,Trametinib,TRAMETINIB
NCT05260671,Penpulimab combined with cetuximab,PENPULIMAB
NCT05260671,Penpulimab combined with cetuximab,CETUXIMAB
NCT05950945,Trastuzumab Deruxtecan,TRASTUZUMAB DERUXTECAN
NCT06139107,Abemaciclib,ABEMACICLIB
NCT06139107,Letrozole,LETROZOLE
NCT03087071,Panitumumab,PANITUMUMAB
NCT03087071,Trametinib,TRAMETINIB
NCT06055465,Sacituzumab Govitecan,SACITUZUMAB GOVITECAN
NCT06055465,Pembrolizumab,PEMBROLIZUMAB
NCT06278870,Pyrotinib,PYROTINIB
NCT06278870,trastuzumab,TRASTUZUMAB
NCT06304441,Osimertinib,OSIMERTINIB
NCT06238882,Nitroglycerin,NITROGLYCERIN
NCT07040072,Stapokibart and Finotonlimab,FINOTONLIMAB
NCT04639986,Capecitabine Oral Product,CAPECITABINE
NCT04639986,Gemcitabine Injection,GEMCITABINE
NCT04639986,Vinorelbine injection,VINORELBINE TARTRATE
NCT07480941,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT07480941,Fludarabine,FLUDARABINE
NCT04017650,Cetuximab,CETUXIMAB
NCT04017650,Encorafenib,ENCORAFENIB
NCT04017650,Nivolumab,NIVOLUMAB
NCT06670196,Osimertinib,OSIMERTINIB
NCT05107674,Paclitaxel,PACLITAXEL
NCT02306161,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT02306161,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT02306161,Etoposide,ETOPOSIDE
NCT02306161,Etoposide Phosphate,ETOPOSIDE PHOSPHATE
NCT02306161,Ganitumab,GANITUMAB
NCT02306161,Ifosfamide,IFOSFAMIDE
NCT02306161,Vincristine,VINCRISTINE
NCT02306161,Vincristine Sulfate,VINCRISTINE SULFATE
NCT06385483,Afatinib,AFATINIB
NCT06927986,Cisplatin,CISPLATIN
NCT06927986,Carboplatin,CARBOPLATIN
NCT07233499,Nebivolol 5 mg,NEBIVOLOL HYDROCHLORIDE
NCT05840211,Paclitaxel,PACLITAXEL
NCT05840211,Nab-paclitaxel,NAB-PACLITAXEL
NCT05840211,Capecitabine,CAPECITABINE
NCT03164616,Durvalumab,DURVALUMAB
NCT03164616,Tremelimumab,TREMELIMUMAB
NCT03164616,Abraxane + carboplatin,CARBOPLATIN
NCT03164616,Gemcitabine + cisplatin,GEMCITABINE
NCT03164616,Gemcitabine + cisplatin,CISPLATIN
NCT06222489,89Zr-Patritumab deruxtecan,PATRITUMAB
NCT05142189,Cemiplimab,CEMIPLIMAB
NCT05142189,Carboplatin,CARBOPLATIN
NCT05142189,Paclitaxel,PACLITAXEL
NCT05142189,Osimertinib,OSIMERTINIB
NCT05325632,Trastuzumab,TRASTUZUMAB
NCT05325632,Paclitaxel,PACLITAXEL
NCT02401685,Adjuvant therapy,ADJUVANT
NCT06956001,Firmonertinib Mesilate Tablets,FIRMONERTINIB
NCT06956001,Cisplatin for injection,CISPLATIN
NCT06956001,Carboplatin Injection,CARBOPLATIN
NCT06964906,Toripalimab,TORIPALIMAB
NCT06964906,nab-Paclitaxel (nab-P),PACLITAXEL
NCT06964906,Epirubicin (E),EPIRUBICIN
NCT06964906,Cyclophosphamide (C),CYCLOPHOSPHAMIDE
NCT02453620,Entinostat,ENTINOSTAT
NCT02453620,Ipilimumab,IPILIMUMAB
NCT02453620,Nivolumab,NIVOLUMAB
NCT04215146,Paclitaxel,PACLITAXEL
NCT04215146,Pelareorep,PELAREOREP
NCT04215146,Avelumab,AVELUMAB
NCT06668103,ABSK043 in combination with Firmonertinib,FIRMONERTINIB
NCT06755684,Befotertinib combined Bevacizumab,BEFOTERTINIB
NCT06755684,Befotertinib combined platinum-based double chemotherapy,PLATINUM
NCT07089641,Fludeoxyglucose F-18,FLUDEOXYGLUCOSE F 18
NCT02453282,MEDI4736 (Durvalumab),DURVALUMAB
NCT02453282,MEDI4736 (Durvalumab)+Tremelimumab,TREMELIMUMAB
NCT02453282,Paclitaxel + Carboplatin,PACLITAXEL
NCT02453282,Paclitaxel + Carboplatin,CARBOPLATIN
NCT02453282,Gemcitabine + Cisplatin,GEMCITABINE
NCT02453282,Gemcitabine + Cisplatin,CISPLATIN
NCT06648096,Afatinib,AFATINIB
NCT03667820,Osimertinib,OSIMERTINIB
NCT04619082,Tenofovir alafenamide,TENOFOVIR ALAFENAMIDE
NCT04739761,Trastuzumab Deruxtecan,TRASTUZUMAB DERUXTECAN
NCT00977470,Erlotinib,ERLOTINIB
NCT00977470,Hydroxychloroquine,HYDROXYCHLOROQUINE
NCT04772235,Repotrectinib,REPOTRECTINIB
NCT04772235,Osimertinib,OSIMERTINIB
NCT05334277,Furmonertinib/Pemetrexed/Carboplatin,CARBOPLATIN
NCT06868277,Rilvegostomig,RILVEGOSTOMIG
NCT06868277,Pembrolizumab,PEMBROLIZUMAB
NCT05624996,Carboplatin,CARBOPLATIN
NCT05624996,Cisplatin,CISPLATIN
NCT05624996,Durvalumab,DURVALUMAB
NCT05624996,Etoposide,ETOPOSIDE
NCT05624996,Nab-paclitaxel,NAB-PACLITAXEL
NCT05624996,Osimertinib,OSIMERTINIB
NCT05624996,Paclitaxel,PACLITAXEL
NCT03807778,Mobocertinib,MOBOCERTINIB
NCT05607550,platinum-based chemotherapy,PLATINUM
NCT05388669,Lazertinib,LAZERTINIB
NCT05388669,Amivantamab Subcutaneous and Co-Formulated with Recombinant Human Hyaluronidase (SC CF),AMIVANTAMAB
NCT03093922,Atezolizumab,ATEZOLIZUMAB
NCT03093922,Gemcitabine,GEMCITABINE
NCT03093922,Cisplatin,CISPLATIN
NCT06522919,Autologous Dendritic Cell (DC) Vaccine,VACCINE
NCT07492394,entinostat,ENTINOSTAT
NCT07492394,Dalpiciclib,DALPICICLIB
NCT07492394,Letrozole,LETROZOLE
NCT05469022,Neoadjuvant lazertinib,LAZERTINIB
NCT06515470,Fulvestrant,FULVESTRANT
NCT04456322,RT plus Nimotuzumab,NIMOTUZUMAB
NCT04456322,RT plus Cisplatin,CISPLATIN
NCT07581912,fulzerasib; cetuximab N01,FULZERASIB
NCT07581912,fulzerasib; cetuximab N01,CETUXIMAB
NCT06989112,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT06989112,Rilvegostomig,RILVEGOSTOMIG
NCT06989112,Pembrolizumab,PEMBROLIZUMAB
NCT06989112,Carboplatin,CARBOPLATIN
NCT06989112,Paclitaxel,PACLITAXEL
NCT05498428,Amivantamab,AMIVANTAMAB
NCT05498428,Lazertinib,LAZERTINIB
NCT05498428,Carboplatin,CARBOPLATIN
NCT05498428,Low Molecular Weight Heparin (LMWH),HEPARIN
NCT06428396,Belzutifan,BELZUTIFAN
NCT06428396,Fulvestrant,FULVESTRANT
NCT06428396,Everolimus,EVEROLIMUS
NCT06428396,Exemestane,EXEMESTANE
NCT06699212,Pembrolizumab,PEMBROLIZUMAB
NCT06699212,Carboplatin,CARBOPLATIN
NCT06699212,Cisplatin,CISPLATIN
NCT06699212,5-fluorouracil,FLUOROURACIL
NCT06699212,Paclitaxel,PACLITAXEL
NCT07405476,Zanidatamab,ZANIDATAMAB
NCT07137416,Pidnarulex,PIDNARULEX
NCT07137416,Trastuzumab Deruxtecan,TRASTUZUMAB DERUXTECAN
NCT07070440,Carboplatin,CARBOPLATIN
NCT02194738,Carboplatin,CARBOPLATIN
NCT02194738,Cisplatin,CISPLATIN
NCT02194738,Crizotinib,CRIZOTINIB
