source_drug_concept_id,target_device_id
rxcui:328134,cdx:ONCOMINEDXTARGE:EGFR:GEFITINIB
iuphar.ligand:12387,cdx:ONCOMINEDXTARGE:ERBB2:ZONGERTINIB
rxcui:2394936,cdx:ONCOMINEDXTARGE:RET:PRALSETINIB
iuphar.ligand:10505,cdx:ONCOMINEDXTARGE:EGFR:AMIVANTAMAB
rxcui:2049873,cdx:ONCOMINEDXTARGE:IDH1:IVOSIDENIB
fda:TRASTUZUMABDERUXTECAN,cdx:ONCOMINEDXTARGE:ERBB2:TRASTUZUMABDERU
rxcui:2370147,cdx:ONCOMINEDXTARGE:RET:SELPERCATINIB
ncit:C152914,cdx:ONCOMINEDXTARGE:IDH1:VORASIDENIB
ncit:C152914,cdx:ONCOMINEDXTARGE:IDH2:VORASIDENIB
fda:TRASTUZUMAB,cdx:PATHVYSIONHER2D:ERBB2:TRASTUZUMABTRAS
fda:TRASTUZUMAB,cdx:VENTANAHER2DUAL:ERBB2:TRASTUZUMABTRAS
rxcui:1148495,cdx:VYSISALKBREAKAP:ALK:CRIZOTINIB
rxcui:1921217,cdx:VYSISALKBREAKAP:ALK:BRIGATINIB
rxcui:318341,cdx:XTCDXTEMPUSLABS:KRAS:CETUXIMABCETUXI
rxcui:263034,cdx:XTCDXTEMPUSLABS:KRAS:PANITUMUMABPANI
rxcui:263034,cdx:XTCDXTEMPUSLABS:NRAS:PANITUMUMABPANI
rxcui:282388,cdx:PDGFRBFISHASSAY:PDGFRB:IMATINIB
rxcui:263034,cdx:PRAXISEXTENDEDR:KRAS:PANITUMUMABPANI
rxcui:263034,cdx:PRAXISEXTENDEDR:NRAS:PANITUMUMABPANI
fda:TRASTUZUMAB,cdx:SPOTLIGHTHER2CI:ERBB2:TRASTUZUMABTRAS
fda:ENCORAFENIBCETUXIMAB,cdx:THERASCREENBRAF:BRAF:ENCORAFENIBCETU
rxcui:1430438,cdx:THERASCREENEGFR:EGFR:AFATINIB
rxcui:328134,cdx:THERASCREENEGFR:EGFR:GEFITINIB
fda:DACOMITINIB,cdx:THERASCREENEGFR:EGFR:DACOMITINIB
rxcui:2123125,cdx:THERASCREENFGFR:FGFR3:ERDAFITINIB
rxcui:263034,cdx:THERASCREENKRAS:KRAS:PANITUMUMABPANI
iuphar.ligand:10678,cdx:THERASCREENKRAS:KRAS:SOTORASIB
rxcui:318341,cdx:THERASCREENKRAS:KRAS:CETUXIMABCETUXI
rxcui:2625882,cdx:THERASCREENKRAS:KRAS:ADAGRASIB
fda:ADAGRASIBCETUXIMAB,cdx:THERASCREENKRAS:KRAS:ADAGRASIBCETUXI
fda:SOTORASIBPANITUMUMAB,cdx:THERASCREENKRAS:KRAS:SOTORASIBPANITU
rxcui:2272107,cdx:THERASCREENPDGF:PDGFRA:AVAPRITINIB
fda:ALPELISIBFULVESTRANT,cdx:THERASCREENPIK3:PIK3CA:ALPELISIBFULVES
fda:TRAMETINIB,cdx:THXIDBRAFKITBIO:BRAF:TRAMETINIB
rxcui:1424911,cdx:THXIDBRAFKITBIO:BRAF:DABRAFENIB
fda:ENCORAFENIBBINIMETINIB,cdx:THXIDBRAFKITBIO:BRAF:ENCORAFENIBBINI
rxcui:2104548,cdx:TRUSIGHTONCOLOG:NTRK1:LAROTRECTINIB
rxcui:2104548,cdx:TRUSIGHTONCOLOG:NTRK2:LAROTRECTINIB
rxcui:2370147,cdx:TRUSIGHTONCOLOG:NTRK3:SELPERCATINIB
rxcui:2370147,cdx:TRUSIGHTONCOLOG:RET:SELPERCATINIB
fda:TRAMETINIB,cdx:MICANCERSEEKMCS:BRAF:TRAMETINIB
rxcui:263034,cdx:MICANCERSEEKMCS:KRAS:PANITUMUMAB
rxcui:263034,cdx:MICANCERSEEKMCS:NRAS:PANITUMUMAB
rxcui:1547545,cdx:MICANCERSEEKMCS:OTHERBIOMARKERS:PEMBROLIZUMAB
iuphar.ligand:11518,cdx:MICANCERSEEKMCS:OTHERBIOMARKERS:DOSTARLIMAB
rxcui:2169285,cdx:MICANCERSEEKMCS:PIK3CA:ALPELISIB
fda:ENCORAFENIBCETUXIMAB,cdx:MICANCERSEEKMCS:BRAF:ENCORAFENIBCETU
