drug_claim_name,nomenclature,concept_id,drug_name,approved,immunotherapy,anti_neoplastic,source_db_name,source_db_version,fda_approval_year,biomarker,drug_class,mechanism
axitinib,Primary Drug Name,rxcui:1242999,AXITINIB,True,False,True,RxNorm,20240401,,,,
Cixutumumab,Primary Drug Name,ncit:C79828,CIXUTUMUMAB,False,True,True,NCIt,24.02d,,,,
Pracinostat,Primary Drug Name,ncit:C71708,PRACINOSTAT,False,False,True,NCIt,24.02d,,,,
methazolamide,Primary Drug Name,rxcui:6826,METHAZOLAMIDE,True,False,False,RxNorm,20240401,,,,
Tolimidone,Primary Drug Name,ncit:C152683,TOLIMIDONE,False,False,False,NCIt,24.02d,,,,
propantheline bromide,Primary Drug Name,rxcui:8762,PROPANTHELINE BROMIDE,True,False,False,RxNorm,20240401,,,,
oxyphenonium bromide,Primary Drug Name,rxcui:42833,OXYPHENONIUM BROMIDE,True,False,False,RxNorm,20240401,,,,
mepenzolate bromide,Primary Drug Name,rxcui:52560,MEPENZOLATE BROMIDE,True,False,False,RxNorm,20240401,,,,
hexocyclium methylsulfate,Primary Drug Name,rxcui:235430,HEXOCYCLIUM METHYLSULFATE,True,False,False,RxNorm,20240401,,,,
dicyclomine hydrochloride,Primary Drug Name,rxcui:152021,DICYCLOMINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
bethanechol chloride,Primary Drug Name,rxcui:47088,BETHANECHOL CHLORIDE,True,False,False,RxNorm,20240401,,,,
methacholine chloride,Primary Drug Name,rxcui:40165,METHACHOLINE CHLORIDE,True,False,False,RxNorm,20240401,,,,
fesoterodine,Primary Drug Name,rxcui:797195,FESOTERODINE,True,False,False,RxNorm,20240401,,,,
cyclopentolate hydrochloride,Primary Drug Name,rxcui:106029,CYCLOPENTOLATE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
pilocarpine hydrochloride,Primary Drug Name,rxcui:235426,PILOCARPINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
ipratropium cation,Primary Drug Name,rxcui:1546373,IPRATROPIUM CATION,True,False,False,RxNorm,20240401,,,,
trospium,Primary Drug Name,rxcui:236778,TROSPIUM,True,False,False,RxNorm,20240401,,,,
irinotecan hydrochloride,Primary Drug Name,rxcui:153329,IRINOTECAN HYDROCHLORIDE,True,False,True,RxNorm,20240401,,,,
liraglutide,Primary Drug Name,rxcui:475968,LIRAGLUTIDE,True,False,False,RxNorm,20240401,,,,
exenatide,Primary Drug Name,rxcui:60548,EXENATIDE,True,False,False,RxNorm,20240401,,,,
lithium carbonate,Primary Drug Name,rxcui:42351,LITHIUM CARBONATE,True,False,False,RxNorm,20240401,,,,
lithium citrate,Primary Drug Name,rxcui:52105,LITHIUM CITRATE,True,False,False,RxNorm,20240401,,,,
pasireotide diaspartate,Primary Drug Name,rxcui:1364104,PASIREOTIDE DIASPARTATE,True,False,False,RxNorm,20240401,,,,
lanreotide acetate,Primary Drug Name,rxcui:236167,LANREOTIDE ACETATE,True,False,False,RxNorm,20240401,,,,
teriparatide,Primary Drug Name,rxcui:32915,TERIPARATIDE,True,False,False,RxNorm,20240401,,,,
urokinase,Primary Drug Name,rxcui:11055,UROKINASE,True,False,False,RxNorm,20240401,,,,
dorzolamide hydrochloride,Primary Drug Name,rxcui:236065,DORZOLAMIDE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
daunorubicin citrate,Primary Drug Name,rxcui:1364321,DAUNORUBICIN CITRATE,True,False,False,RxNorm,20240401,,,,
doxorubicin hydrochloride,Primary Drug Name,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,True,False,True,RxNorm,20240401,,,,
mitoxantrone hydrochloride,Primary Drug Name,rxcui:203129,MITOXANTRONE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
moexipril hydrochloride,Primary Drug Name,rxcui:236066,MOEXIPRIL HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
enalaprilat anhydrous,Primary Drug Name,rxcui:1545989,ENALAPRILAT ANHYDROUS,True,False,False,RxNorm,20240401,,,,
ramipril,Primary Drug Name,rxcui:35296,RAMIPRIL,True,False,False,RxNorm,20240401,,,,
perindopril,Primary Drug Name,rxcui:54552,PERINDOPRIL,True,False,False,RxNorm,20240401,,,,
lisinopril anhydrous,Primary Drug Name,rxcui:1546022,LISINOPRIL ANHYDROUS,True,False,False,RxNorm,20240401,,,,
alprostadil,Primary Drug Name,rxcui:598,ALPROSTADIL,True,False,False,RxNorm,20240401,,,,
epoetin alfa,Primary Drug Name,rxcui:105694,EPOETIN ALFA,True,False,False,RxNorm,20240401,,,,
ribavirin,Primary Drug Name,rxcui:9344,RIBAVIRIN,True,False,False,RxNorm,20240401,,,,
rituximab,Primary Drug Name,rxcui:121191,RITUXIMAB,True,True,True,RxNorm,20240401,,,,
molidustat,Primary Drug Name,rxcui:2637535,MOLIDUSTAT,False,False,False,RxNorm,20240401,,,,
epinastine hydrochloride,Primary Drug Name,rxcui:236961,EPINASTINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
cyclizine lactate,Primary Drug Name,rxcui:91071,CYCLIZINE LACTATE,True,False,False,RxNorm,20240401,,,,
fexofenadine hydrochloride,Primary Drug Name,rxcui:236474,FEXOFENADINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
cyproheptadine hydrochloride,Primary Drug Name,rxcui:104592,CYPROHEPTADINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
Irenka,Primary Drug Name,rxcui:476250,DULOXETINE HYDROCHLORIDE,True,False,False,Wikidata,20240411,,,,
azatadine maleate,Primary Drug Name,rxcui:58275,AZATADINE MALEATE,True,False,False,RxNorm,20240401,,,,
dexbrompheniramine maleate,Primary Drug Name,rxcui:48936,DEXBROMPHENIRAMINE MALEATE,True,False,False,RxNorm,20240401,,,,
promethazine hydrochloride,Primary Drug Name,rxcui:142445,PROMETHAZINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
pyrilamine maleate,Primary Drug Name,rxcui:82091,PYRILAMINE MALEATE,True,False,False,RxNorm,20240401,,,,
loratadine,Primary Drug Name,rxcui:28889,LORATADINE,True,False,False,RxNorm,20240401,,,,
histamine phosphate,Primary Drug Name,rxcui:26925,HISTAMINE PHOSPHATE,True,False,False,RxNorm,20240401,,,,
tripelennamine hydrochloride,Primary Drug Name,rxcui:91063,TRIPELENNAMINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
bepotastine besilate,Primary Drug Name,rxcui:658552,BEPOTASTINE BESILATE,True,False,False,RxNorm,20240401,,,,
diphenylpyraline hydrochloride,Primary Drug Name,rxcui:203155,DIPHENYLPYRALINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
buclizine hydrochloride,Primary Drug Name,rxcui:91070,BUCLIZINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
orphenadrine hydrochloride,Primary Drug Name,rxcui:202723,ORPHENADRINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
tolazoline hydrochloride,Primary Drug Name,rxcui:235450,TOLAZOLINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
certolizumab pegol,Primary Drug Name,rxcui:709271,CERTOLIZUMAB PEGOL,True,False,False,RxNorm,20240401,,,,
etanercept-szzs,Primary Drug Name,rxcui:2103480,ETANERCEPT-SZZS,True,True,False,RxNorm,20240401,,,,
sildenafil,Primary Drug Name,rxcui:136411,SILDENAFIL,True,False,False,RxNorm,20240401,,,,
avanafil,Primary Drug Name,rxcui:1291301,AVANAFIL,True,False,False,RxNorm,20240401,,,,
thiethylperazine maleate,Primary Drug Name,rxcui:71529,THIETHYLPERAZINE MALEATE,True,False,False,RxNorm,20240401,,,,
prochlorperazine,Primary Drug Name,rxcui:8704,PROCHLORPERAZINE,True,False,False,RxNorm,20240401,,,,
cabergoline,Primary Drug Name,rxcui:47579,CABERGOLINE,True,False,False,RxNorm,20240401,,,,
paliperidone,Primary Drug Name,rxcui:679314,PALIPERIDONE,True,False,False,RxNorm,20240401,,,,
thiothixene,Primary Drug Name,rxcui:10510,THIOTHIXENE,True,False,False,RxNorm,20240401,,,,
thiothixene hydrochloride,Primary Drug Name,rxcui:91135,THIOTHIXENE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
salmon calcitonin,Primary Drug Name,rxcui:36118,SALMON CALCITONIN,True,False,False,RxNorm,20240401,,,,
Flomoxef,Primary Drug Name,ncit:C65693,FLOMOXEF,False,False,False,NCIt,24.02d,,,,
valsartan,Primary Drug Name,rxcui:69749,VALSARTAN,True,False,False,RxNorm,20240401,,,,
methysergide maleate,Primary Drug Name,rxcui:203190,METHYSERGIDE MALEATE,True,False,False,RxNorm,20240401,,,,
cetuximab,Primary Drug Name,rxcui:318341,CETUXIMAB,True,True,True,RxNorm,20240401,2004.0,KRAS Wildtype and EGFR-expressing,Monoclonal antibody,Anti-EGFR antibody
isoniazid,Primary Drug Name,rxcui:6038,ISONIAZID,True,False,False,RxNorm,20240401,,,,
Calcitonin,Primary Drug Name,rxcui:235481,HUMAN CALCITONIN,True,False,False,ChemIDplus,20230222,,,,
cetrorelix acetate,Primary Drug Name,rxcui:259338,CETRORELIX ACETATE,True,False,False,RxNorm,20240401,,,,
histrelin acetate,Primary Drug Name,rxcui:1294622,HISTRELIN ACETATE,True,False,False,RxNorm,20240401,,,,
triptorelin pamoate,Primary Drug Name,rxcui:338529,TRIPTORELIN PAMOATE,True,False,False,RxNorm,20240401,,,,
leuprolide acetate,Primary Drug Name,rxcui:203217,LEUPROLIDE ACETATE,True,False,True,RxNorm,20240401,,,,
finasteride,Primary Drug Name,rxcui:25025,FINASTERIDE,True,False,False,RxNorm,20240401,,,,
olsalazine sodium,Primary Drug Name,rxcui:104123,OLSALAZINE SODIUM,True,False,False,RxNorm,20240401,,,,
ethopropazine hydrochloride,Primary Drug Name,rxcui:6541,ETHOPROPAZINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
Nilotinib Hydrochloride Monohydrate,Primary Drug Name,ncit:C95229,NILOTINIB HYDROCHLORIDE MONOHYDRATE,True,False,False,NCIt,24.02d,,,,
bosutinib,Primary Drug Name,rxcui:1307619,BOSUTINIB,True,False,True,RxNorm,20240401,2012.0,Ph+ (BCR-ABL1 Fusion),Multikinase inhibitor,Multi-targeted tyrosine kinase inhibitor (targets include BCR-ABL1 and SRC family kinases)
imatinib,Primary Drug Name,rxcui:282388,IMATINIB,True,False,True,RxNorm,20240401,1998.0,"*Ph+ (BCR-ABL1 Fusion)
*KIT+
*PDGFRA, PDGFRB Fusions
*PDGFB Fusions
*FIP1L1-PDGFRA fusion",Multikinase inhibitor,"Multi-targeted kinase inhibitor (targets include BCR-ABL, KIT, PDGFRA)"
romiplostim,Primary Drug Name,rxcui:805452,ROMIPLOSTIM,True,False,False,RxNorm,20240401,,,,
acebutolol hydrochloride,Primary Drug Name,rxcui:142130,ACEBUTOLOL HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
bisoprolol fumarate,Primary Drug Name,rxcui:142146,BISOPROLOL FUMARATE,True,False,False,RxNorm,20240401,,,,
pindolol,Primary Drug Name,rxcui:8332,PINDOLOL,True,False,False,RxNorm,20240401,,,,
dobutamine hydrochloride,Primary Drug Name,rxcui:203121,DOBUTAMINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
timolol,Primary Drug Name,rxcui:10600,TIMOLOL,True,False,False,RxNorm,20240401,,,,
pentazocine hydrochloride,Primary Drug Name,rxcui:104973,PENTAZOCINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
dextromethorphan hydrobromide,Primary Drug Name,rxcui:102490,DEXTROMETHORPHAN HYDROBROMIDE,True,False,False,RxNorm,20240401,,,,
furosemide,Primary Drug Name,rxcui:4603,FUROSEMIDE,True,False,False,RxNorm,20240401,,,,
quinethazone,Primary Drug Name,rxcui:59743,QUINETHAZONE,True,False,False,RxNorm,20240401,,,,
methyclothiazide,Primary Drug Name,rxcui:6860,METHYCLOTHIAZIDE,True,False,False,RxNorm,20240401,,,,
bendroflumethiazide,Primary Drug Name,rxcui:1369,BENDROFLUMETHIAZIDE,True,False,False,RxNorm,20240401,,,,
levamisole hydrochloride,Primary Drug Name,rxcui:227227,LEVAMISOLE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
diazoxide,Primary Drug Name,rxcui:3327,DIAZOXIDE,True,False,False,RxNorm,20240401,,,,
"ergoloid mesylates, USP",Primary Drug Name,rxcui:4024,"ERGOLOID MESYLATES, USP",True,False,False,RxNorm,20240401,,,,
anhydrous tacrolimus,Primary Drug Name,rxcui:235991,ANHYDROUS TACROLIMUS,True,True,False,RxNorm,20240401,,,,
pentostatin,Primary Drug Name,rxcui:8011,PENTOSTATIN,True,False,True,RxNorm,20240401,,,,
citalopram,Primary Drug Name,rxcui:2556,CITALOPRAM,True,False,False,RxNorm,20240401,,,,
citalopram hydrobromide,Primary Drug Name,rxcui:221078,CITALOPRAM HYDROBROMIDE,True,False,False,RxNorm,20240401,,,,
fluoxetine hydrochloride,Primary Drug Name,rxcui:227224,FLUOXETINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
Chlorphentermine Hydrochloride,Primary Drug Name,ncit:C65324,CHLORPHENTERMINE HYDROCHLORIDE,True,False,False,NCIt,24.02d,,,,
amoxapine,Primary Drug Name,rxcui:722,AMOXAPINE,True,False,False,RxNorm,20240401,,,,
desvenlafaxine succinate,Primary Drug Name,rxcui:683693,DESVENLAFAXINE SUCCINATE,True,False,False,RxNorm,20240401,,,,
imipramine hydrochloride,Primary Drug Name,rxcui:150816,IMIPRAMINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
milnacipran hydrochloride,Primary Drug Name,rxcui:30003,MILNACIPRAN HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
nortriptyline hydrochloride,Primary Drug Name,rxcui:203130,NORTRIPTYLINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
protriptyline hydrochloride,Primary Drug Name,rxcui:203199,PROTRIPTYLINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
rosiglitazone maleate,Primary Drug Name,rxcui:253198,ROSIGLITAZONE MALEATE,True,False,False,RxNorm,20240401,,,,
phenprocoumon,Primary Drug Name,rxcui:8150,PHENPROCOUMON,True,False,False,RxNorm,20240401,,,,
warfarin sodium,Primary Drug Name,rxcui:114194,WARFARIN SODIUM,True,False,False,RxNorm,20240401,,,,
pyrimethamine,Primary Drug Name,rxcui:9010,PYRIMETHAMINE,True,False,False,RxNorm,20240401,,,,
Gedivumab,Primary Drug Name,ncit:C166943,GEDIVUMAB,False,False,False,NCIt,24.02d,,,,
Cycloguanil Pamoate,Primary Drug Name,ncit:C171767,CYCLOGUANIL PAMOATE,True,False,False,NCIt,24.02d,,,,
nizatidine,Primary Drug Name,rxcui:42319,NIZATIDINE,True,False,False,RxNorm,20240401,,,,
ranitidine hydrochloride,Primary Drug Name,rxcui:203136,RANITIDINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
cyclosporine,Primary Drug Name,rxcui:3008,CYCLOSPORINE,True,True,False,RxNorm,20240401,,,,
enoxaparin sodium,Primary Drug Name,rxcui:221095,ENOXAPARIN SODIUM,True,False,False,RxNorm,20240401,,,,
capecitabine,Primary Drug Name,rxcui:194000,CAPECITABINE,True,False,True,RxNorm,20240401,,,,
fluorouracil,Primary Drug Name,rxcui:4492,FLUOROURACIL,True,False,True,RxNorm,20240401,,,,
mecasermin,Primary Drug Name,rxcui:274403,MECASERMIN,True,False,False,RxNorm,20240401,,,,
thyrotropin,Primary Drug Name,rxcui:10579,THYROTROPIN,True,False,False,RxNorm,20240401,,,,
corticotropin,Primary Drug Name,rxcui:376,CORTICOTROPIN,True,False,False,RxNorm,20240401,,,,
cosyntropin,Primary Drug Name,rxcui:2890,COSYNTROPIN,True,False,False,RxNorm,20240401,,,,
teriflunomide,Primary Drug Name,rxcui:1310520,TERIFLUNOMIDE,True,False,False,RxNorm,20240401,,,,
monobenzone,Primary Drug Name,rxcui:17145,MONOBENZONE,True,False,False,RxNorm,20240401,,,,
somatrem,Primary Drug Name,rxcui:56570,SOMATREM,True,False,False,RxNorm,20240401,,,,
somatropin (recombinant DNA origin),Primary Drug Name,rxcui:314845,SOMATROPIN (RECOMBINANT DNA ORIGIN),True,False,False,RxNorm,20240401,,,,
cholecalciferol,Primary Drug Name,rxcui:2418,CHOLECALCIFEROL,True,False,False,RxNorm,20240401,,,,
doxercalciferol,Primary Drug Name,rxcui:11516,DOXERCALCIFEROL,True,False,False,RxNorm,20240401,,,,
letrozole,Primary Drug Name,rxcui:72965,LETROZOLE,True,False,True,RxNorm,20240401,,,,
aminoglutethimide,Primary Drug Name,rxcui:677,AMINOGLUTETHIMIDE,True,False,True,RxNorm,20240401,,,,
"insulin, regular, human",Primary Drug Name,rxcui:253182,"INSULIN, REGULAR, HUMAN",True,False,False,RxNorm,20240401,,,,
Emend,Primary Drug Name,rxcui:358255,APREPITANT,True,False,False,Wikidata,20240411,,,,
INSULIN ZINC SUSP BEEF,Primary Name,chembl:CHEMBL1201639,INSULIN ZINC SUSP BEEF,True,False,False,ChEMBL,33,,,,
"insulin glulisine, human",Primary Drug Name,rxcui:400008,"INSULIN GLULISINE, HUMAN",True,False,False,RxNorm,20240401,,,,
"insulin, regular, pork",Primary Drug Name,rxcui:221109,"INSULIN, REGULAR, PORK",True,False,False,RxNorm,20240401,,,,
INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,Primary Name,chembl:CHEMBL1201641,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,True,False,False,ChEMBL,33,,,,
loxapine,Primary Drug Name,rxcui:6475,LOXAPINE,True,False,False,RxNorm,20240401,,,,
chlorpromazine hydrochloride,Primary Drug Name,rxcui:104728,CHLORPROMAZINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
clozapine,Primary Drug Name,rxcui:2626,CLOZAPINE,True,False,False,RxNorm,20240401,,,,
loxapine succinate,Primary Drug Name,rxcui:6476,LOXAPINE SUCCINATE,True,False,False,RxNorm,20240401,,,,
pimozide,Primary Drug Name,rxcui:8331,PIMOZIDE,True,False,False,RxNorm,20240401,,,,
thioridazine,Primary Drug Name,rxcui:10502,THIORIDAZINE,True,False,False,RxNorm,20240401,,,,
trifluoperazine hydrochloride,Primary Drug Name,rxcui:91130,TRIFLUOPERAZINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
glucagon hydrochloride,Primary Drug Name,rxcui:253170,GLUCAGON HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
tafluprost,Primary Drug Name,rxcui:1244607,TAFLUPROST,True,False,False,RxNorm,20240401,,,,
raloxifene hydrochloride,Primary Drug Name,rxcui:166551,RALOXIFENE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
nesiritide,Primary Drug Name,rxcui:19666,NESIRITIDE,True,False,False,RxNorm,20240401,,,,
cilastatin sodium,Primary Drug Name,rxcui:82128,CILASTATIN SODIUM,True,False,False,RxNorm,20240401,,,,
desoxycorticosterone acetate,Primary Drug Name,rxcui:258333,DESOXYCORTICOSTERONE ACETATE,True,False,False,RxNorm,20240401,,,,
fludrocortisone acetate,Primary Drug Name,rxcui:165516,FLUDROCORTISONE ACETATE,True,False,False,RxNorm,20240401,,,,
felodipine,Primary Drug Name,rxcui:4316,FELODIPINE,True,False,False,RxNorm,20240401,,,,
epoprostenol sodium,Primary Drug Name,rxcui:104463,EPOPROSTENOL SODIUM,True,False,False,RxNorm,20240401,,,,
regadenoson anhydrous,Primary Drug Name,rxcui:1546015,REGADENOSON ANHYDROUS,True,False,False,RxNorm,20240401,,,,
modafinil,Primary Drug Name,rxcui:30125,MODAFINIL,True,False,False,RxNorm,20240401,,,,
FOMEPIZOLE,Primary Name,rxcui:15226,FOMEPIZOLE,True,False,False,ChEMBL,33,,,,
amphetamine aspartate,Primary Drug Name,rxcui:221057,AMPHETAMINE ASPARTATE,True,False,False,RxNorm,20240401,,,,
dextroamphetamine sulfate,Primary Drug Name,rxcui:3287,DEXTROAMPHETAMINE SULFATE,True,False,False,RxNorm,20240401,,,,
dextroamphetamine saccharate,Primary Drug Name,rxcui:221088,DEXTROAMPHETAMINE SACCHARATE,True,False,False,RxNorm,20240401,,,,
loperamide,Primary Drug Name,rxcui:6468,LOPERAMIDE,True,False,False,RxNorm,20240401,,,,
alfentanil hydrochloride,Primary Drug Name,rxcui:203203,ALFENTANIL HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
morphine sulfate,Primary Drug Name,rxcui:30236,MORPHINE SULFATE,True,False,False,RxNorm,20240401,,,,
propoxyphene hydrochloride,Primary Drug Name,rxcui:71517,PROPOXYPHENE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
dihydrocodeine bitartrate,Primary Drug Name,rxcui:104966,DIHYDROCODEINE BITARTRATE,True,False,False,RxNorm,20240401,,,,
remifentanil hydrochloride,Primary Drug Name,rxcui:236540,REMIFENTANIL HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
levomethadyl acetate hydrochloride,Primary Drug Name,rxcui:82043,LEVOMETHADYL ACETATE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
anileridine hydrochloride,Primary Drug Name,rxcui:235413,ANILERIDINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
Rubidium Rb-82,Primary Drug Name,ncit:C87414,RUBIDIUM RB-82,False,False,False,NCIt,24.02d,,,,
Anileridine Phosphate,Primary Drug Name,ncit:C87352,ANILERIDINE PHOSPHATE,True,False,False,NCIt,24.02d,,,,
tolcapone,Primary Drug Name,rxcui:72937,TOLCAPONE,True,False,False,RxNorm,20240401,,,,
entacapone,Primary Drug Name,rxcui:60307,ENTACAPONE,True,False,False,RxNorm,20240401,,,,
pyridostigmine bromide,Primary Drug Name,rxcui:9001,PYRIDOSTIGMINE BROMIDE,True,False,False,RxNorm,20240401,,,,
pralidoxime chloride,Primary Drug Name,rxcui:55322,PRALIDOXIME CHLORIDE,True,False,False,RxNorm,20240401,,,,
urofollitropin,Primary Drug Name,rxcui:134404,UROFOLLITROPIN,True,False,False,RxNorm,20240401,,,,
cabozantinib s-malate,Primary Drug Name,rxcui:1363267,CABOZANTINIB S-MALATE,True,False,True,RxNorm,20240401,,,,
cycloserine,Primary Drug Name,rxcui:3007,CYCLOSERINE,True,False,False,RxNorm,20240401,,,,
triamcinolone,Primary Drug Name,rxcui:10759,TRIAMCINOLONE,True,False,False,RxNorm,20240401,,,,
hydrocortisone cypionate,Primary Drug Name,rxcui:163524,HYDROCORTISONE CYPIONATE,True,False,False,RxNorm,20240401,,,,
clobetasol propionate,Primary Drug Name,rxcui:21245,CLOBETASOL PROPIONATE,True,False,False,RxNorm,20240401,,,,
ecamsule,Primary Drug Name,rxcui:1544124,ECAMSULE,True,False,False,RxNorm,20240401,,,,
loteprednol,Primary Drug Name,rxcui:237027,LOTEPREDNOL,True,False,False,RxNorm,20240401,,,,
prednisolone tebutate,Primary Drug Name,rxcui:34376,PREDNISOLONE TEBUTATE,True,False,False,RxNorm,20240401,,,,
methylprednisolone sodium succinate,Primary Drug Name,rxcui:203189,METHYLPREDNISOLONE SODIUM SUCCINATE,True,False,False,RxNorm,20240401,,,,
desonide,Primary Drug Name,rxcui:3254,DESONIDE,True,False,False,RxNorm,20240401,,,,
flumethasone pivalate,Primary Drug Name,rxcui:25113,FLUMETHASONE PIVALATE,True,False,False,RxNorm,20240401,,,,
hydrocortisone sodium phosphate,Primary Drug Name,rxcui:235482,HYDROCORTISONE SODIUM PHOSPHATE,True,False,False,RxNorm,20240401,,,,
mometasone,Primary Drug Name,rxcui:108118,MOMETASONE,True,False,False,RxNorm,20240401,,,,
dexamethasone acetate,Primary Drug Name,rxcui:22690,DEXAMETHASONE ACETATE,True,False,False,RxNorm,20240401,,,,
hydrocortisone butyrate,Primary Drug Name,rxcui:103468,HYDROCORTISONE BUTYRATE,True,False,False,RxNorm,20240401,,,,
fluocinolone acetonide,Primary Drug Name,rxcui:4461,FLUOCINOLONE ACETONIDE,True,False,False,RxNorm,20240401,,,,
betamethasone valerate,Primary Drug Name,rxcui:227897,BETAMETHASONE VALERATE,True,False,False,RxNorm,20240401,,,,
flurandrenolide,Primary Drug Name,rxcui:4500,FLURANDRENOLIDE,True,False,False,RxNorm,20240401,,,,
delavirdine mesylate,Primary Drug Name,rxcui:142152,DELAVIRDINE MESYLATE,True,False,False,RxNorm,20240401,,,,
emtricitabine,Primary Drug Name,rxcui:276237,EMTRICITABINE,True,False,False,RxNorm,20240401,,,,
rilpivirine,Primary Drug Name,rxcui:1102270,RILPIVIRINE,True,False,False,RxNorm,20240401,,,,
selegiline,Primary Drug Name,rxcui:9639,SELEGILINE,True,False,False,RxNorm,20240401,,,,
zanamivir,Primary Drug Name,rxcui:69722,ZANAMIVIR,True,False,False,RxNorm,20240401,,,,
pralatrexate,Primary Drug Name,rxcui:662019,PRALATREXATE,True,False,True,RxNorm,20240401,,,,
miglustat,Primary Drug Name,rxcui:402316,MIGLUSTAT,True,False,False,RxNorm,20240401,,,,
tamoxifen citrate,Primary Drug Name,rxcui:40137,TAMOXIFEN CITRATE,True,False,False,RxNorm,20240401,,,,
ethinyl estradiol,Primary Drug Name,rxcui:4124,ETHINYL ESTRADIOL,True,False,False,RxNorm,20240401,,,,
dienestrol,Primary Drug Name,rxcui:3368,DIENESTROL,True,False,False,RxNorm,20240401,,,,
mestranol,Primary Drug Name,rxcui:6782,MESTRANOL,True,False,False,RxNorm,20240401,,,,
