source_evidence_id,target_drug_concept_id,evidence_level,significance,evidence_direction
126,rxcui:318341,B,Resistance,Supports
127,rxcui:10753,B,Resistance,Supports
130,rxcui:81992,D,Resistance,Supports
134,rxcui:318341,B,Resistance,Supports
135,rxcui:318341,D,Resistance,Supports
136,rxcui:318341,D,Resistance,Supports
137,rxcui:10753,B,Sensitivity/Response,Does Not Support
138,rxcui:318341,B,Resistance,Supports
139,rxcui:81992,B,Resistance,Supports
139,ncit:C71603,B,Resistance,Supports
141,rxcui:1727454,D,Sensitivity/Response,Supports
142,ncit:C171615,D,Sensitivity/Response,Supports
143,rxcui:1148495,D,Sensitivity/Response,Supports
144,iuphar.ligand:5037,D,Sensitivity/Response,Supports
145,rxcui:318341,D,Sensitivity/Response,Supports
146,rxcui:10753,B,Sensitivity/Response,Supports
147,rxcui:81992,B,Sensitivity/Response,Supports
148,rxcui:11118,B,Sensitivity/Response,Supports
149,rxcui:10753,D,Sensitivity/Response,Supports
153,rxcui:24614,E,Sensitivity/Response,Supports
153,rxcui:81992,E,Sensitivity/Response,Supports
153,ncit:C71603,E,Sensitivity/Response,Supports
154,rxcui:35302,D,Sensitivity/Response,Supports
155,rxcui:141704,B,Sensitivity/Response,Supports
211,rxcui:1597582,B,Sensitivity/Response,Supports
212,rxcui:1597582,B,Sensitivity/Response,Supports
229,rxcui:328134,B,Sensitivity/Response,Supports
229,rxcui:337525,B,Sensitivity/Response,Supports
231,ncit:C90581,D,Sensitivity/Response,Does Not Support
232,rxcui:282388,D,Resistance,Supports
233,rxcui:282388,D,Resistance,Supports
234,rxcui:282388,B,Resistance,Supports
235,rxcui:282388,D,Resistance,Supports
236,rxcui:1148495,C,Resistance,Supports
237,rxcui:1148495,C,Resistance,Supports
238,rxcui:337525,A,Resistance,Supports
239,rxcui:328134,B,Resistance,Supports
240,fda:DACOMITINIB,B,Resistance,Supports
241,rxcui:480167,D,Resistance,Supports
247,rxcui:495881,C,Resistance,Supports
248,rxcui:495881,B,Resistance,Supports
249,rxcui:282388,D,Resistance,Supports
250,rxcui:318341,B,Resistance,Supports
251,rxcui:337525,B,Resistance,Supports
251,rxcui:328134,B,Resistance,Supports
258,rxcui:318341,B,Resistance,Does Not Support
258,rxcui:263034,B,Resistance,Does Not Support
259,rxcui:282388,A,Sensitivity/Response,Supports
260,rxcui:282388,A,Sensitivity/Response,Supports
261,rxcui:662281,A,Sensitivity/Response,Supports
261,fda:DASATINIB,A,Sensitivity/Response,Supports
262,rxcui:1148495,C,Sensitivity/Response,Supports
263,rxcui:1601374,D,Sensitivity/Response,Supports
264,rxcui:2169285,D,Sensitivity/Response,Supports
266,fda:DASATINIB,D,Sensitivity/Response,Supports
267,fda:DASATINIB,D,Sensitivity/Response,Supports
268,fda:DASATINIB,D,Sensitivity/Response,Supports
269,fda:DASATINIB,D,Sensitivity/Response,Supports
270,fda:DASATINIB,D,Sensitivity/Response,Supports
271,fda:DASATINIB,D,Sensitivity/Response,Supports
272,rxcui:337525,C,Sensitivity/Response,Supports
272,fda:DASATINIB,C,Sensitivity/Response,Supports
273,rxcui:328134,D,Sensitivity/Response,Supports
274,rxcui:328134,D,Sensitivity/Response,Supports
275,rxcui:328134,B,Sensitivity/Response,Supports
275,rxcui:337525,B,Sensitivity/Response,Supports
276,rxcui:328134,D,Sensitivity/Response,Supports
277,rxcui:337525,C,Sensitivity/Response,Supports
278,drugbank:DB02010,E,Sensitivity/Response,Supports
279,rxcui:480167,D,Sensitivity/Response,Supports
279,rxcui:1940642,D,Sensitivity/Response,Supports
280,rxcui:1940642,D,Sensitivity/Response,Supports
281,rxcui:1940642,D,Sensitivity/Response,Supports
282,rxcui:1940642,D,Sensitivity/Response,Supports
283,rxcui:1940642,D,Sensitivity/Response,Supports
284,rxcui:1940642,D,Sensitivity/Response,Supports
285,rxcui:1940642,D,Sensitivity/Response,Supports
286,rxcui:1940642,D,Sensitivity/Response,Supports
286,rxcui:480167,D,Sensitivity/Response,Supports
287,rxcui:1940642,D,Sensitivity/Response,Supports
288,rxcui:1940642,D,Sensitivity/Response,Supports
289,rxcui:1940642,D,Sensitivity/Response,Supports
290,rxcui:282357,D,Sensitivity/Response,Supports
290,rxcui:10324,D,Sensitivity/Response,Supports
291,rxcui:10324,D,Sensitivity/Response,Supports
291,rxcui:282357,D,Sensitivity/Response,Supports
292,rxcui:10324,D,Sensitivity/Response,Supports
292,rxcui:282357,D,Sensitivity/Response,Supports
293,rxcui:10324,D,Sensitivity/Response,Supports
293,rxcui:282357,D,Sensitivity/Response,Supports
294,rxcui:282357,D,Sensitivity/Response,Supports
294,rxcui:10324,D,Sensitivity/Response,Supports
295,rxcui:1364347,C,Sensitivity/Response,Supports
296,rxcui:1364347,C,Sensitivity/Response,Supports
296,chembl:CHEMBL1201733,C,Sensitivity/Response,Supports
297,ncit:C48402,B,Sensitivity/Response,Supports
298,rxcui:495881,B,Sensitivity/Response,Supports
299,ncit:C1731,D,Sensitivity/Response,Supports
301,rxcui:358258,D,Sensitivity/Response,Supports
301,chembl:CHEMBL541388,D,Sensitivity/Response,Supports
302,rxcui:282388,C,Sensitivity/Response,Supports
303,rxcui:282388,D,Sensitivity/Response,Supports
303,rxcui:662281,D,Sensitivity/Response,Supports
303,fda:DASATINIB,D,Sensitivity/Response,Supports
304,rxcui:357977,B,Sensitivity/Response,Supports
305,rxcui:2361596,D,Sensitivity/Response,Supports
305,ncit:C74072,D,Sensitivity/Response,Supports
306,rxcui:318341,B,Sensitivity/Response,Supports
307,rxcui:37776,A,Sensitivity/Response,Supports
308,rxcui:2105,B,Sensitivity/Response,Supports
309,ncit:C1306,E,Sensitivity/Response,Supports
310,iuphar.ligand:7743,D,Sensitivity/Response,Supports
311,rxcui:35302,D,Sensitivity/Response,Supports
314,iuphar.ligand:7743,D,Sensitivity/Response,Supports
316,rxcui:10753,B,Sensitivity/Response,Supports
317,ncit:C2201,D,Sensitivity/Response,Supports
319,rxcui:142433,D,Sensitivity/Response,Supports
320,rxcui:141704,B,Sensitivity/Response,Supports
344,rxcui:282388,A,Sensitivity/Response,Supports
387,rxcui:263034,C,Resistance,Supports
387,rxcui:318341,C,Resistance,Supports
388,rxcui:263034,C,Resistance,Supports
388,rxcui:318341,C,Resistance,Supports
399,rxcui:142433,B,Sensitivity/Response,Supports
403,rxcui:282388,D,Sensitivity/Response,Supports
403,iuphar.ligand:5685,D,Sensitivity/Response,Supports
411,ncit:C71603,B,Resistance,Supports
412,hemonc:75494,D,Sensitivity/Response,Does Not Support
413,rxcui:337525,B,Sensitivity/Response,Supports
413,rxcui:328134,B,Sensitivity/Response,Supports
414,hemonc:75494,D,Sensitivity/Response,Supports
414,rxcui:996051,D,Sensitivity/Response,Supports
436,rxcui:1442981,B,Resistance,Supports
439,rxcui:1147220,D,Resistance,Supports
440,rxcui:1148495,D,Resistance,Supports
441,rxcui:1148495,D,Resistance,Supports
442,rxcui:1148495,D,Resistance,Supports
443,rxcui:1148495,D,Resistance,Supports
444,rxcui:1148495,C,Resistance,Supports
447,rxcui:1999574,D,Resistance,Supports
447,rxcui:1307298,D,Resistance,Supports
448,rxcui:83008,D,Resistance,Supports
452,rxcui:37776,D,Sensitivity/Response,Supports
453,rxcui:37776,D,Sensitivity/Response,Supports
454,iuphar.ligand:8010,D,Sensitivity/Response,Supports
454,iuphar.ligand:8011,D,Sensitivity/Response,Supports
455,rxcui:1597582,D,Sensitivity/Response,Supports
456,hemonc:19,E,Sensitivity/Response,Supports
456,rxcui:2555,E,Sensitivity/Response,Supports
457,rxcui:56946,D,Resistance,Supports
486,rxcui:282388,C,Sensitivity/Response,Supports
501,rxcui:10324,B,Sensitivity/Response,Does Not Support
502,rxcui:258494,B,Sensitivity/Response,Does Not Support
502,rxcui:10324,B,Sensitivity/Response,Does Not Support
506,rxcui:318341,B,Resistance,Supports
507,rxcui:657797,D,Sensitivity/Response,Supports
528,fda:TRASTUZUMAB,B,Sensitivity/Response,Supports
529,fda:TRASTUZUMAB,B,Sensitivity/Response,Supports
622,fda:TRAMETINIB,B,Resistance,Supports
622,rxcui:12574,B,Resistance,Supports
623,rxcui:1597582,D,Sensitivity/Response,Supports
630,chembl:CHEMBL1200751,D,Resistance,Supports
630,rxcui:10485,D,Resistance,Supports
631,rxcui:10485,D,Resistance,Supports
631,chembl:CHEMBL1200751,D,Resistance,Supports
632,chembl:CHEMBL1200751,D,Resistance,Supports
632,rxcui:10485,D,Resistance,Supports
633,rxcui:274771,D,Resistance,Does Not Support
635,rxcui:274771,D,Resistance,Does Not Support
636,rxcui:274771,D,Resistance,Does Not Support
637,fda:DASATINIB,B,Resistance,Supports
638,rxcui:1364347,D,Sensitivity/Response,Supports
639,rxcui:1364347,B,Sensitivity/Response,Supports
642,rxcui:328134,D,Resistance,Supports
642,ncit:C48369,D,Resistance,Supports
644,rxcui:141704,B,Resistance,Supports
645,fda:TRASTUZUMAB,B,Resistance,Supports
646,ncit:C99905,B,Sensitivity/Response,Supports
647,rxcui:1597582,C,Sensitivity/Response,Supports
648,rxcui:1597582,C,Sensitivity/Response,Supports
649,rxcui:2555,C,Resistance,Supports
649,rxcui:40048,C,Resistance,Supports
650,rxcui:1597582,B,Sensitivity/Response,Supports
651,rxcui:282388,D,Resistance,Supports
652,rxcui:282388,D,Sensitivity/Response,Supports
654,rxcui:282388,A,Sensitivity/Response,Supports
659,rxcui:12574,B,Sensitivity/Response,Supports
659,chembl:CHEMBL538943,B,Sensitivity/Response,Supports
660,rxcui:40048,D,Sensitivity/Response,Supports
660,rxcui:2555,D,Sensitivity/Response,Supports
660,rxcui:56946,D,Sensitivity/Response,Supports
661,rxcui:2555,D,Resistance,Supports
662,rxcui:2555,D,Resistance,Supports
664,rxcui:40048,B,Resistance,Supports
664,rxcui:56946,B,Resistance,Supports
669,rxcui:4492,B,Sensitivity/Response,Supports
673,rxcui:2555,B,Sensitivity/Response,Supports
673,rxcui:40048,B,Sensitivity/Response,Supports
674,rxcui:56946,B,Sensitivity/Response,Supports
675,rxcui:40048,B,Sensitivity/Response,Supports
675,rxcui:2555,B,Sensitivity/Response,Supports
676,rxcui:2555,B,Resistance,Supports
677,rxcui:56946,B,Sensitivity/Response,Supports
677,rxcui:40048,B,Sensitivity/Response,Supports
678,rxcui:4492,B,Resistance,Supports
678,rxcui:153329,B,Resistance,Supports
679,rxcui:142433,D,Resistance,Supports
680,iuphar.ligand:5037,D,Sensitivity/Response,Supports
681,rxcui:1364347,D,Sensitivity/Response,Supports
686,iuphar.ligand:5037,D,Sensitivity/Response,Supports
688,rxcui:1148495,A,Sensitivity/Response,Supports
689,iuphar.ligand:8966,C,Sensitivity/Response,Supports
691,rxcui:4492,B,Sensitivity/Response,Does Not Support
691,ncit:C1450,B,Sensitivity/Response,Does Not Support
691,rxcui:318341,B,Sensitivity/Response,Does Not Support
692,rxcui:318341,B,Sensitivity/Response,Does Not Support
693,ncit:C2167,B,Sensitivity/Response,Supports
694,ncit:C2167,B,Resistance,Does Not Support
696,rxcui:263034,B,Resistance,Supports
697,rxcui:318341,B,Resistance,Does Not Support
698,rxcui:1098413,C,Sensitivity/Response,Supports
699,ncit:C2167,C,Resistance,Supports
700,rxcui:2049122,D,Sensitivity/Response,Supports
700,drugbank:DB07101,D,Sensitivity/Response,Supports
700,rxcui:141704,D,Sensitivity/Response,Supports
700,rxcui:2361596,D,Sensitivity/Response,Supports
700,ncit:C78856,D,Sensitivity/Response,Supports
704,rxcui:1547545,B,Sensitivity/Response,Supports
704,rxcui:1597876,B,Sensitivity/Response,Supports
705,rxcui:141704,C,Sensitivity/Response,Supports
705,chembl:CHEMBL1201733,C,Sensitivity/Response,Supports
706,fda:TRASTUZUMAB,B,Sensitivity/Response,Supports
707,ncit:C84870,D,Sensitivity/Response,Supports
708,ncit:C84870,D,Sensitivity/Response,Supports
709,rxcui:2669967,C,Sensitivity/Response,Supports
710,ncit:C90581,D,Sensitivity/Response,Supports
710,ncit:C165479,D,Sensitivity/Response,Supports
711,ncit:C107684,D,Sensitivity/Response,Supports
713,rxcui:2669967,D,Sensitivity/Response,Supports
713,ncit:C148229,D,Sensitivity/Response,Supports
714,ncit:C90565,C,Sensitivity/Response,Supports
714,rxcui:56946,C,Sensitivity/Response,Supports
714,rxcui:40048,C,Sensitivity/Response,Supports
715,rxcui:657797,C,Sensitivity/Response,Supports
716,rxcui:2169285,D,Resistance,Supports
717,rxcui:318341,C,Resistance,Supports
718,rxcui:318341,B,Resistance,Supports
718,rxcui:263034,B,Resistance,Supports
719,rxcui:263034,B,Resistance,Supports
719,rxcui:318341,B,Resistance,Supports
720,rxcui:318341,D,Resistance,Supports
722,rxcui:2669967,D,Sensitivity/Response,Supports
722,ncit:C148229,D,Sensitivity/Response,Supports
723,rxcui:495881,C,Sensitivity/Response,Supports
724,rxcui:1147220,D,Resistance,Supports
725,rxcui:1147220,D,Resistance,Supports
726,fda:TRAMETINIB,D,Sensitivity/Response,Supports
727,fda:TRAMETINIB,D,Sensitivity/Response,Supports
728,rxcui:1147220,C,Sensitivity/Response,Supports
729,rxcui:318341,B,Resistance,Supports
730,rxcui:318341,B,Sensitivity/Response,Supports
733,rxcui:328134,D,Resistance,Supports
734,rxcui:56946,D,Resistance,Supports
735,rxcui:1148495,C,Sensitivity/Response,Supports
736,rxcui:1148495,D,Sensitivity/Response,Supports
737,ncit:C2167,B,Sensitivity/Response,Supports
738,rxcui:282388,B,Resistance,Supports
739,rxcui:1544460,C,Sensitivity/Response,Supports
740,rxcui:1098413,D,Sensitivity/Response,Supports
742,rxcui:2361596,D,Sensitivity/Response,Supports
742,ncit:C165479,D,Sensitivity/Response,Supports
743,rxcui:1547545,B,Sensitivity/Response,Supports
743,rxcui:1597876,B,Sensitivity/Response,Supports
744,ncit:C107239,D,Sensitivity/Response,Supports
745,rxcui:1242987,C,Resistance,Supports
746,rxcui:1242987,B,Resistance,Supports
747,rxcui:18330,D,Sensitivity/Response,Supports
748,rxcui:1659191,B,Sensitivity/Response,Supports
749,rxcui:1242987,B,Sensitivity/Response,Supports
751,iuphar.ligand:4307,D,Sensitivity/Response,Supports
752,rxcui:56946,D,Resistance,Supports
753,rxcui:263034,B,Sensitivity/Response,Supports
755,rxcui:1242987,D,Resistance,Supports
756,ncit:C165479,C,Sensitivity/Response,Supports
757,ncit:C165479,C,Sensitivity/Response,Supports
759,rxcui:318341,B,Resistance,Does Not Support
761,rxcui:1940642,B,Sensitivity/Response,Supports
762,ncit:C99905,D,Sensitivity/Response,Supports
763,rxcui:1148495,C,Resistance,Supports
764,rxcui:1148495,C,Resistance,Supports
765,rxcui:1148495,C,Resistance,Supports
766,rxcui:1148495,C,Resistance,Supports
767,rxcui:1148495,C,Resistance,Supports
770,rxcui:480167,D,Sensitivity/Response,Supports
772,ncit:C2167,B,Sensitivity/Response,Supports
773,rxcui:1430438,C,Sensitivity/Response,Supports
774,ncit:C2167,B,Sensitivity/Response,Supports
775,fda:DACOMITINIB,D,Sensitivity/Response,Supports
776,rxcui:480167,D,Sensitivity/Response,Supports
777,rxcui:318341,D,Resistance,Supports
778,iuphar.ligand:8297,D,Sensitivity/Response,Supports
779,rxcui:12574,D,Sensitivity/Response,Supports
779,rxcui:40048,D,Sensitivity/Response,Supports
779,rxcui:2555,D,Sensitivity/Response,Supports
779,rxcui:56946,D,Sensitivity/Response,Supports
780,rxcui:1148495,D,Resistance,Supports
781,rxcui:1148495,B,Resistance,Supports
783,ncit:C2733,B,Sensitivity/Response,Does Not Support
786,rxcui:318341,D,Sensitivity/Response,Supports
787,rxcui:318341,D,Sensitivity/Response,Supports
788,rxcui:318341,B,Sensitivity/Response,Supports
789,rxcui:318341,B,Sensitivity/Response,Supports
791,rxcui:337525,C,Sensitivity/Response,Supports
792,iuphar.ligand:9176,D,Resistance,Supports
794,rxcui:1946825,C,Sensitivity/Response,Supports
795,rxcui:1601374,D,Sensitivity/Response,Supports
796,ncit:C80058,B,Sensitivity/Response,Supports
797,rxcui:1148495,C,Sensitivity/Response,Supports
799,rxcui:2550729,D,Sensitivity/Response,Supports
800,rxcui:2550729,D,Sensitivity/Response,Supports
801,ncit:C76199,D,Sensitivity/Response,Supports
801,iuphar.ligand:5037,D,Sensitivity/Response,Supports
803,iuphar.ligand:5037,D,Sensitivity/Response,Supports
803,ncit:C76199,D,Sensitivity/Response,Supports
803,ncit:C1725,D,Sensitivity/Response,Supports
805,rxcui:1597582,D,Resistance,Supports
806,rxcui:318341,B,Resistance,Does Not Support
809,rxcui:2555,B,Sensitivity/Response,Does Not Support
813,ncit:C78853,B,Sensitivity/Response,Supports
814,rxcui:12574,B,Sensitivity/Response,Supports
814,ncit:C1450,B,Sensitivity/Response,Supports
815,rxcui:2467553,B,Resistance,Supports
816,rxcui:263034,B,Resistance,Does Not Support
816,rxcui:318341,B,Resistance,Does Not Support
818,rxcui:877015,B,Sensitivity/Response,Supports
818,rxcui:153329,B,Sensitivity/Response,Supports
818,rxcui:4492,B,Sensitivity/Response,Supports
819,rxcui:15657,D,Sensitivity/Response,Supports
820,rxcui:15657,D,Sensitivity/Response,Supports
821,rxcui:56946,B,Sensitivity/Response,Supports
822,rxcui:37776,B,Sensitivity/Response,Supports
823,rxcui:10324,B,Sensitivity/Response,Supports
823,rxcui:677,B,Sensitivity/Response,Supports
824,rxcui:32592,B,Resistance,Supports
824,rxcui:877015,B,Resistance,Supports
824,rxcui:153329,B,Resistance,Supports
824,rxcui:4492,B,Resistance,Supports
826,rxcui:318341,D,Resistance,Supports
827,rxcui:2555,B,Resistance,Supports
829,rxcui:357977,B,Resistance,Supports
829,rxcui:495881,B,Resistance,Supports
831,ncit:C71015,D,Sensitivity/Response,Supports
835,rxcui:328134,D,Resistance,Supports
836,rxcui:1148495,C,Sensitivity/Response,Supports
837,chembl:CHEMBL538943,B,Sensitivity/Response,Supports
837,rxcui:2555,B,Sensitivity/Response,Supports
841,rxcui:1148495,C,Resistance,Supports
841,iuphar.ligand:9261,C,Resistance,Supports
841,rxcui:1535457,C,Resistance,Supports
842,rxcui:2103164,C,Sensitivity/Response,Supports
843,rxcui:2103164,C,Resistance,Supports
844,rxcui:1148495,C,Sensitivity/Response,Supports
845,rxcui:1597582,C,Sensitivity/Response,Supports
846,rxcui:318341,B,Resistance,Supports
848,rxcui:318341,B,Resistance,Supports
849,rxcui:318341,B,Sensitivity/Response,Does Not Support
851,rxcui:142433,D,Sensitivity/Response,Supports
852,rxcui:4492,B,Resistance,Supports
853,rxcui:4492,B,Resistance,Supports
854,rxcui:318341,B,Sensitivity/Response,Supports
854,rxcui:263034,B,Sensitivity/Response,Supports
855,rxcui:56946,B,Resistance,Supports
856,rxcui:10324,B,Resistance,Supports
857,rxcui:10324,B,Resistance,Supports
858,rxcui:10324,B,Resistance,Does Not Support
859,ncit:C74072,D,Sensitivity/Response,Supports
860,rxcui:480167,D,Resistance,Supports
861,ncit:C102535,D,Sensitivity/Response,Supports
862,ncit:C102535,D,Sensitivity/Response,Does Not Support
863,rxcui:1307298,B,Resistance,Supports
864,fda:TRASTUZUMAB,B,Resistance,Supports
864,rxcui:480167,B,Resistance,Supports
866,ncit:C77872,D,Resistance,Supports
867,fda:TRASTUZUMAB,D,Resistance,Supports
868,fda:TRASTUZUMAB,D,Resistance,Supports
869,rxcui:480167,D,Resistance,Supports
870,iuphar.ligand:6925,D,Sensitivity/Response,Supports
871,rxcui:2555,B,Resistance,Supports
872,rxcui:2555,B,Resistance,Supports
873,rxcui:1147220,D,Resistance,Supports
873,rxcui:1424911,D,Resistance,Supports
874,ncit:C1450,B,Sensitivity/Response,Supports
875,rxcui:318341,B,Sensitivity/Response,Supports
875,rxcui:194000,B,Sensitivity/Response,Supports
875,rxcui:32592,B,Sensitivity/Response,Supports
876,rxcui:2099704,D,Sensitivity/Response,Supports
878,rxcui:1597582,D,Sensitivity/Response,Supports
879,rxcui:1430438,B,Sensitivity/Response,Supports
880,rxcui:1430438,B,Sensitivity/Response,Supports
881,rxcui:1430438,D,Sensitivity/Response,Supports
882,rxcui:1430438,B,Sensitivity/Response,Supports
883,rxcui:1430438,B,Sensitivity/Response,Supports
884,rxcui:337525,B,Sensitivity/Response,Supports
885,rxcui:337525,B,Sensitivity/Response,Supports
886,rxcui:1430438,D,Sensitivity/Response,Supports
887,fda:TRASTUZUMAB,B,Sensitivity/Response,Supports
887,rxcui:1430438,B,Sensitivity/Response,Supports
887,rxcui:480167,B,Sensitivity/Response,Supports
888,rxcui:153329,B,Sensitivity/Response,Supports
889,rxcui:2555,B,Sensitivity/Response,Supports
889,rxcui:4492,B,Sensitivity/Response,Supports
890,rxcui:1148495,C,Sensitivity/Response,Supports
891,rxcui:10324,B,Resistance,Supports
892,rxcui:657797,B,Sensitivity/Response,Does Not Support
892,ncit:C49061,B,Sensitivity/Response,Does Not Support
893,rxcui:657797,B,Resistance,Does Not Support
893,ncit:C49061,B,Resistance,Does Not Support
894,rxcui:657797,B,Sensitivity/Response,Does Not Support
894,ncit:C49061,B,Sensitivity/Response,Does Not Support
895,rxcui:194000,B,Resistance,Does Not Support
895,rxcui:318341,B,Resistance,Does Not Support
895,rxcui:32592,B,Resistance,Does Not Support
896,rxcui:2550729,D,Sensitivity/Response,Supports
898,rxcui:337525,B,Sensitivity/Response,Supports
899,ncit:C71603,D,Resistance,Supports
899,rxcui:12574,D,Resistance,Supports
899,rxcui:142433,D,Resistance,Supports
900,rxcui:142433,D,Sensitivity/Response,Supports
900,rxcui:1311566,D,Sensitivity/Response,Supports
901,rxcui:282357,D,Resistance,Supports
902,rxcui:318341,D,Sensitivity/Response,Supports
904,rxcui:328134,D,Resistance,Supports
909,rxcui:142433,B,Sensitivity/Response,Supports
910,rxcui:40048,B,Sensitivity/Response,Supports
910,chembl:CHEMBL1200796,B,Sensitivity/Response,Supports
910,rxcui:266573,B,Sensitivity/Response,Supports
911,rxcui:318341,B,Sensitivity/Response,Supports
912,rxcui:153329,B,Sensitivity/Response,Supports
914,rxcui:4492,B,Sensitivity/Response,Supports
915,ncit:C133878,B,Resistance,Supports
916,rxcui:337525,B,Resistance,Does Not Support
918,rxcui:141704,D,Sensitivity/Response,Supports
919,rxcui:282388,D,Sensitivity/Response,Supports
919,ncit:C165479,D,Sensitivity/Response,Supports
920,rxcui:56946,D,Resistance,Supports
923,rxcui:328134,B,Sensitivity/Response,Supports
923,rxcui:337525,B,Sensitivity/Response,Supports
925,rxcui:83008,D,Resistance,Supports
926,rxcui:495881,B,Resistance,Supports
927,rxcui:56946,B,Resistance,Supports
928,rxcui:203213,B,Sensitivity/Response,Supports
929,ncit:C1804,B,Resistance,Supports
930,rxcui:141704,D,Sensitivity/Response,Supports
931,ncit:C77392,D,Sensitivity/Response,Supports
932,iuphar.ligand:9361,D,Resistance,Supports
932,ncit:C128632,D,Resistance,Supports
932,ncit:C74072,D,Resistance,Supports
933,chembl:CHEMBL538943,D,Sensitivity/Response,Supports
934,fda:TRAMETINIB,D,Sensitivity/Response,Supports
935,fda:TRAMETINIB,D,Sensitivity/Response,Supports
936,fda:TRAMETINIB,D,Sensitivity/Response,Supports
937,ncit:C90581,C,Sensitivity/Response,Supports
938,ncit:C90581,C,Sensitivity/Response,Supports
939,rxcui:12574,D,Sensitivity/Response,Supports
940,ncit:C47948,D,Resistance,Supports
941,ncit:C47948,D,Sensitivity/Response,Supports
942,ncit:C1450,B,Sensitivity/Response,Supports
943,ncit:C2167,D,Sensitivity/Response,Supports
944,rxcui:56946,D,Resistance,Supports
946,rxcui:2555,B,Resistance,Supports
947,fda:DASATINIB,D,Sensitivity/Response,Supports
947,rxcui:318341,D,Sensitivity/Response,Supports
948,ncit:C2167,B,Sensitivity/Response,Supports
950,rxcui:12574,D,Resistance,Supports
951,ncit:C122637,D,Resistance,Supports
951,rxcui:56946,D,Resistance,Supports
952,rxcui:56946,D,Resistance,Supports
953,rxcui:1156,D,Resistance,Supports
954,rxcui:328134,B,Sensitivity/Response,Supports
955,fda:TRASTUZUMAB,B,Sensitivity/Response,Supports
958,rxcui:32592,D,Resistance,Supports
959,rxcui:1430438,C,Sensitivity/Response,Supports
960,rxcui:1430438,D,Sensitivity/Response,Supports
960,rxcui:35302,D,Sensitivity/Response,Supports
961,rxcui:1430438,B,Sensitivity/Response,Supports
962,rxcui:1430438,D,Sensitivity/Response,Supports
963,rxcui:1721560,D,Sensitivity/Response,Supports
964,rxcui:1721560,B,Resistance,Supports
965,rxcui:1721560,B,Sensitivity/Response,Supports
966,rxcui:1721560,B,Sensitivity/Response,Supports
967,rxcui:1721560,D,Sensitivity/Response,Supports
967,ncit:C99905,D,Sensitivity/Response,Supports
