nct_id,gene_symbol,source
NCT07110883,ROS1,eligibility_criteria
NCT05526755,EGFR,eligibility_criteria
NCT06414733,EGFR,eligibility_criteria
NCT07014202,ALK,eligibility_criteria
NCT07014202,EGFR,eligibility_criteria
NCT05103605,EGFR,eligibility_criteria
NCT07274761,EGFR,eligibility_criteria
NCT05201352,BRAF,eligibility_criteria
NCT05201352,EGFR,eligibility_criteria
NCT04243616,ERBB2,eligibility_criteria
NCT04983121,ERBB2,eligibility_criteria
NCT01972347,BRAF,eligibility_criteria
NCT04762199,EGFR,eligibility_criteria
NCT04964934,CDK4,eligibility_criteria
NCT04964934,ERBB2,eligibility_criteria
NCT06415487,EGFR,eligibility_criteria
NCT07323056,EGFR,eligibility_criteria
NCT07162675,ERBB2,eligibility_criteria
NCT04576455,ERBB2,eligibility_criteria
NCT06048718,ERBB2,eligibility_criteria
NCT06074588,ALK,eligibility_criteria
NCT06074588,EGFR,eligibility_criteria
NCT06020066,EGFR,eligibility_criteria
NCT02827877,ERBB2,eligibility_criteria
NCT05870319,EGFR,eligibility_criteria
NCT03969823,EGFR,eligibility_criteria
NCT07330596,ALK,eligibility_criteria
NCT07330596,EGFR,eligibility_criteria
NCT05751018,EGFR,eligibility_criteria
NCT05751018,ERBB2,eligibility_criteria
NCT01093612,ERBB2,eligibility_criteria
NCT04172259,ERBB2,eligibility_criteria
NCT04545710,CDK4,eligibility_criteria
NCT04545710,EGFR,eligibility_criteria
NCT06455072,EGFR,eligibility_criteria
NCT04868877,EGFR,eligibility_criteria
NCT04868877,MET,eligibility_criteria
NCT07092202,EGFR,eligibility_criteria
NCT03874026,BRAF,eligibility_criteria
NCT03874026,KRAS,eligibility_criteria
NCT03874026,NRAS,eligibility_criteria
NCT05299125,EGFR,eligibility_criteria
NCT05374603,ALK,eligibility_criteria
NCT05374603,EGFR,eligibility_criteria
NCT05374603,MET,eligibility_criteria
NCT05379803,EGFR,eligibility_criteria
NCT03448042,ERBB2,eligibility_criteria
NCT05548127,CDK4,eligibility_criteria
NCT05548127,ERBB2,eligibility_criteria
NCT04036682,EGFR,eligibility_criteria
NCT03769103,EGFR,eligibility_criteria
NCT05351788,ALK,eligibility_criteria
NCT05351788,EGFR,eligibility_criteria
NCT06035016,ERBB2,eligibility_criteria
NCT00899405,EGFR,eligibility_criteria
NCT05304962,CDK4,eligibility_criteria
NCT05304962,ERBB2,eligibility_criteria
NCT06399926,ALK,eligibility_criteria
NCT06399926,EGFR,eligibility_criteria
NCT06399926,ROS1,eligibility_criteria
NCT04027647,EGFR,eligibility_criteria
NCT05883852,ERBB2,eligibility_criteria
NCT04181060,EGFR,eligibility_criteria
NCT03191149,EGFR,eligibility_criteria
NCT06726148,CDK4,eligibility_criteria
NCT06726148,ERBB2,eligibility_criteria
NCT05948813,EGFR,eligibility_criteria
NCT05256290,EGFR,eligibility_criteria
NCT05256290,MET,eligibility_criteria
NCT03808662,ALK,eligibility_criteria
NCT03808662,EGFR,eligibility_criteria
NCT03808662,ERBB2,eligibility_criteria
NCT03808662,ROS1,eligibility_criteria
NCT06156527,EGFR,eligibility_criteria
NCT07461454,ERBB2,eligibility_criteria
NCT07503756,EGFR,eligibility_criteria
NCT06928818,ERBB2,eligibility_criteria
NCT05033691,EGFR,eligibility_criteria
NCT05011487,EGFR,eligibility_criteria
NCT04946968,EGFR,eligibility_criteria
NCT02496663,EGFR,eligibility_criteria
NCT07493291,CDK4,eligibility_criteria
NCT07493291,ERBB2,eligibility_criteria
NCT05442060,EGFR,eligibility_criteria
NCT07326566,EGFR,eligibility_criteria
NCT00902044,ERBB2,eligibility_criteria
NCT06343064,ALK,eligibility_criteria
NCT06343064,EGFR,eligibility_criteria
NCT06343064,MET,eligibility_criteria
NCT06343064,ROS1,eligibility_criteria
NCT07476287,EGFR,eligibility_criteria
NCT03391843,EGFR,eligibility_criteria
NCT07087223,ALK,eligibility_criteria
NCT07087223,EGFR,eligibility_criteria
NCT07087223,MET,eligibility_criteria
NCT07087223,ROS1,eligibility_criteria
NCT04765059,EGFR,eligibility_criteria
NCT07143045,EGFR,eligibility_criteria
NCT07143045,KRAS,eligibility_criteria
NCT06369831,ERBB2,eligibility_criteria
NCT04573231,ERBB2,eligibility_criteria
NCT04930432,EGFR,eligibility_criteria
NCT04930432,MET,eligibility_criteria
NCT04412616,EGFR,eligibility_criteria
NCT05704985,EGFR,eligibility_criteria
NCT04603287,EGFR,eligibility_criteria
NCT03782207,ALK,eligibility_criteria
NCT03782207,EGFR,eligibility_criteria
NCT06462092,ERBB2,eligibility_criteria
NCT05293964,ERBB2,eligibility_criteria
NCT06084481,ERBB2,eligibility_criteria
NCT06426511,ALK,eligibility_criteria
NCT06426511,EGFR,eligibility_criteria
NCT04335292,EGFR,eligibility_criteria
NCT03993873,ALK,eligibility_criteria
NCT03993873,EGFR,eligibility_criteria
NCT03993873,KRAS,eligibility_criteria
NCT03993873,MET,eligibility_criteria
NCT03993873,ROS1,eligibility_criteria
NCT07375316,EGFR,eligibility_criteria
NCT03334617,ALK,eligibility_criteria
NCT03334617,BRAF,eligibility_criteria
NCT03334617,EGFR,eligibility_criteria
NCT03334617,MET,eligibility_criteria
NCT03334617,RET,eligibility_criteria
NCT03334617,ROS1,eligibility_criteria
NCT06071013,EGFR,eligibility_criteria
NCT03333343,BRAF,eligibility_criteria
NCT03333343,EGFR,eligibility_criteria
NCT03333343,MET,eligibility_criteria
NCT06706713,EGFR,eligibility_criteria
NCT06509126,BRAF,eligibility_criteria
NCT04085315,ALK,eligibility_criteria
NCT04085315,BRAF,eligibility_criteria
NCT04085315,EGFR,eligibility_criteria
NCT04085315,KRAS,eligibility_criteria
NCT04085315,MET,eligibility_criteria
NCT04085315,RET,eligibility_criteria
NCT04085315,TP53,eligibility_criteria
NCT06771960,EGFR,eligibility_criteria
NCT07028489,EGFR,eligibility_criteria
NCT04481932,ERBB2,eligibility_criteria
NCT06199232,ERBB2,eligibility_criteria
NCT05773092,EGFR,eligibility_criteria
NCT05910398,ERBB2,eligibility_criteria
NCT04285671,EGFR,eligibility_criteria
NCT03065387,EGFR,eligibility_criteria
NCT03065387,ERBB2,eligibility_criteria
NCT03065387,KRAS,eligibility_criteria
NCT05260671,EGFR,eligibility_criteria
NCT05950945,CDK4,eligibility_criteria
NCT05950945,ERBB2,eligibility_criteria
NCT06139107,CDK4,eligibility_criteria
NCT06139107,ERBB2,eligibility_criteria
NCT03087071,BRAF,eligibility_criteria
NCT03087071,EGFR,eligibility_criteria
NCT03087071,KRAS,eligibility_criteria
NCT03087071,NRAS,eligibility_criteria
NCT06055465,ALK,eligibility_criteria
NCT06055465,EGFR,eligibility_criteria
NCT06278870,ERBB2,eligibility_criteria
NCT06304441,EGFR,eligibility_criteria
NCT06238882,EGFR,eligibility_criteria
NCT01994057,EGFR,eligibility_criteria
NCT04836156,ERBB2,eligibility_criteria
NCT04639986,ERBB2,eligibility_criteria
NCT07480941,EGFR,eligibility_criteria
NCT04017650,BRAF,eligibility_criteria
NCT04017650,EGFR,eligibility_criteria
NCT06670196,EGFR,eligibility_criteria
NCT06385483,EGFR,eligibility_criteria
NCT06927986,EGFR,eligibility_criteria
NCT06382129,EGFR,eligibility_criteria
NCT06840483,ERBB2,eligibility_criteria
NCT07233499,ERBB2,eligibility_criteria
NCT05840211,BRCA1,eligibility_criteria
NCT05840211,BRCA2,eligibility_criteria
NCT05840211,ERBB2,eligibility_criteria
NCT05840211,PIK3CA,eligibility_criteria
NCT02511106,EGFR,eligibility_criteria
NCT03164616,ALK,eligibility_criteria
NCT03164616,EGFR,eligibility_criteria
NCT07230691,EGFR,eligibility_criteria
NCT06222489,EGFR,eligibility_criteria
NCT05142189,ALK,eligibility_criteria
NCT05142189,EGFR,eligibility_criteria
NCT05142189,RET,eligibility_criteria
NCT07449858,EGFR,eligibility_criteria
NCT05325632,ERBB2,eligibility_criteria
NCT06956001,ALK,eligibility_criteria
NCT06956001,BRAF,eligibility_criteria
NCT06956001,EGFR,eligibility_criteria
NCT06956001,MET,eligibility_criteria
NCT06956001,RET,eligibility_criteria
NCT06956001,ROS1,eligibility_criteria
NCT06964906,ERBB2,eligibility_criteria
NCT02453620,ERBB2,eligibility_criteria
NCT07343986,EGFR,eligibility_criteria
NCT04215146,CDK4,eligibility_criteria
NCT04215146,ERBB2,eligibility_criteria
NCT06668103,EGFR,eligibility_criteria
NCT06755684,EGFR,eligibility_criteria
NCT07089641,EGFR,eligibility_criteria
NCT02453282,ALK,eligibility_criteria
NCT02453282,EGFR,eligibility_criteria
NCT04900935,ALK,eligibility_criteria
NCT04900935,EGFR,eligibility_criteria
NCT04900935,RET,eligibility_criteria
NCT04900935,ROS1,eligibility_criteria
NCT06648096,EGFR,eligibility_criteria
NCT03667820,EGFR,eligibility_criteria
NCT07541703,ERBB2,eligibility_criteria
NCT04739761,ERBB2,eligibility_criteria
NCT00977470,EGFR,eligibility_criteria
NCT04772235,ALK,eligibility_criteria
NCT04772235,EGFR,eligibility_criteria
NCT04772235,MET,eligibility_criteria
NCT04772235,ROS1,eligibility_criteria
NCT05334277,EGFR,eligibility_criteria
NCT06573073,EGFR,eligibility_criteria
NCT06868277,ALK,eligibility_criteria
NCT06868277,EGFR,eligibility_criteria
NCT06868277,ROS1,eligibility_criteria
NCT06598800,EGFR,eligibility_criteria
NCT06598800,MET,eligibility_criteria
NCT06394674,EGFR,eligibility_criteria
NCT05624996,ALK,eligibility_criteria
NCT05624996,EGFR,eligibility_criteria
NCT03807778,EGFR,eligibility_criteria
NCT03807778,ERBB2,eligibility_criteria
NCT05607550,EGFR,eligibility_criteria
NCT05388669,EGFR,eligibility_criteria
NCT06522919,EGFR,eligibility_criteria
NCT07492394,ERBB2,eligibility_criteria
NCT05469022,EGFR,eligibility_criteria
NCT06515470,CDK4,eligibility_criteria
NCT06515470,ERBB2,eligibility_criteria
NCT07581912,BRAF,eligibility_criteria
NCT07581912,KRAS,eligibility_criteria
NCT07581912,NRAS,eligibility_criteria
NCT06989112,ERBB2,eligibility_criteria
NCT05498428,EGFR,eligibility_criteria
NCT06428396,CDK4,eligibility_criteria
NCT06428396,ERBB2,eligibility_criteria
NCT04197934,EGFR,eligibility_criteria
NCT06716580,EGFR,eligibility_criteria
NCT04324164,EGFR,eligibility_criteria
NCT07405476,ERBB2,eligibility_criteria
NCT07137416,ERBB2,eligibility_criteria
NCT07070440,EGFR,eligibility_criteria
NCT02194738,ALK,eligibility_criteria
NCT02194738,EGFR,eligibility_criteria
NCT03725059,ERBB2,eligibility_criteria
NCT05306340,CDK4,eligibility_criteria
NCT05306340,ERBB2,eligibility_criteria
NCT06561620,EGFR,eligibility_criteria
NCT03769506,EGFR,eligibility_criteria
NCT07405801,PIK3CA,eligibility_criteria
NCT02411448,EGFR,eligibility_criteria
NCT05364073,EGFR,eligibility_criteria
NCT05364073,ERBB2,eligibility_criteria
NCT02800486,EGFR,eligibility_criteria
NCT03747120,ERBB2,eligibility_criteria
NCT03804580,EGFR,eligibility_criteria
NCT06210490,ERBB2,eligibility_criteria
NCT06955988,EGFR,eligibility_criteria
NCT02311933,ERBB2,eligibility_criteria
NCT06635447,ERBB2,eligibility_criteria
NCT06635447,PIK3CA,eligibility_criteria
NCT06635447,PTEN,eligibility_criteria
NCT04547504,ALK,eligibility_criteria
NCT04547504,EGFR,eligibility_criteria
NCT02279004,BRAF,eligibility_criteria
NCT02279004,EGFR,eligibility_criteria
NCT02279004,KRAS,eligibility_criteria
NCT02279004,NRAS,eligibility_criteria
NCT05435248,EGFR,eligibility_criteria
NCT04853342,EGFR,eligibility_criteria
NCT02157051,ERBB2,eligibility_criteria
NCT07042295,EGFR,eligibility_criteria
NCT03368729,ERBB2,eligibility_criteria
NCT05712902,EGFR,eligibility_criteria
NCT05712902,ERBB2,eligibility_criteria
NCT06256328,ERBB2,eligibility_criteria
NCT07230977,EGFR,eligibility_criteria
NCT07230977,ERBB2,eligibility_criteria
NCT04988295,EGFR,eligibility_criteria
NCT06827145,ALK,eligibility_criteria
NCT06827145,EGFR,eligibility_criteria
NCT06827145,ROS1,eligibility_criteria
NCT06695845,ALK,eligibility_criteria
NCT06695845,BRAF,eligibility_criteria
NCT06695845,EGFR,eligibility_criteria
NCT06695845,ERBB2,eligibility_criteria
NCT06695845,KRAS,eligibility_criteria
NCT06695845,NRAS,eligibility_criteria
NCT06695845,ROS1,eligibility_criteria
NCT06369181,ALK,eligibility_criteria
NCT06369181,EGFR,eligibility_criteria
NCT06369181,TP53,eligibility_criteria
NCT05257967,EGFR,eligibility_criteria
NCT05598528,EGFR,eligibility_criteria
NCT06500208,ERBB2,eligibility_criteria
NCT06429904,EGFR,eligibility_criteria
NCT05800223,EGFR,eligibility_criteria
NCT06321510,EGFR,eligibility_criteria
NCT06709859,EGFR,eligibility_criteria
NCT06268210,EGFR,eligibility_criteria
NCT06127979,BRCA2,eligibility_criteria
NCT06127979,ERBB2,eligibility_criteria
NCT05244213,ALK,eligibility_criteria
NCT05244213,EGFR,eligibility_criteria
NCT03831932,EGFR,eligibility_criteria
NCT05710406,BRAF,eligibility_criteria
NCT03909334,EGFR,eligibility_criteria
NCT06563999,ALK,eligibility_criteria
NCT06563999,BRAF,eligibility_criteria
NCT06563999,EGFR,eligibility_criteria
NCT06563999,ERBB2,eligibility_criteria
NCT06563999,KRAS,eligibility_criteria
NCT06563999,MET,eligibility_criteria
NCT06563999,RET,eligibility_criteria
NCT06563999,ROS1,eligibility_criteria
NCT06618287,EGFR,eligibility_criteria
NCT06618287,ERBB2,eligibility_criteria
NCT04129502,EGFR,eligibility_criteria
NCT04129502,ERBB2,eligibility_criteria
NCT07361237,ALK,eligibility_criteria
NCT07361237,BRAF,eligibility_criteria
NCT07361237,EGFR,eligibility_criteria
NCT07361237,ERBB2,eligibility_criteria
NCT07361237,KRAS,eligibility_criteria
NCT07361237,RET,eligibility_criteria
NCT07361237,ROS1,eligibility_criteria
NCT07348965,EGFR,eligibility_criteria
NCT03876951,ERBB2,eligibility_criteria
NCT06738966,ERBB2,eligibility_criteria
NCT07076823,BRAF,eligibility_criteria
NCT01810913,EGFR,eligibility_criteria
NCT05426486,ERBB2,eligibility_criteria
NCT05785741,ERBB2,eligibility_criteria
NCT05801029,EGFR,eligibility_criteria
NCT06901531,ERBB2,eligibility_criteria
NCT05144854,ERBB2,eligibility_criteria
NCT07235566,BRAF,eligibility_criteria
NCT07235566,EGFR,eligibility_criteria
NCT07504445,ERBB2,eligibility_criteria
NCT02885753,KRAS,eligibility_criteria
NCT02885753,NRAS,eligibility_criteria
NCT05394831,EGFR,eligibility_criteria
NCT06302621,FGFR1,eligibility_criteria
NCT06302621,FGFR2,eligibility_criteria
NCT06574347,ALK,eligibility_criteria
NCT06574347,EGFR,eligibility_criteria
NCT06574347,MET,eligibility_criteria
NCT06574347,ROS1,eligibility_criteria
NCT07020221,KRAS,eligibility_criteria
NCT06044623,ERBB2,eligibility_criteria
NCT02955290,ALK,eligibility_criteria
NCT02955290,EGFR,eligibility_criteria
NCT02955290,KRAS,eligibility_criteria
NCT07038343,EGFR,eligibility_criteria
NCT07315113,EGFR,eligibility_criteria
NCT07315113,ERBB2,eligibility_criteria
NCT07130916,EGFR,eligibility_criteria
NCT06065748,CDK4,eligibility_criteria
NCT06065748,ERBB2,eligibility_criteria
NCT06538038,EGFR,eligibility_criteria
NCT01730833,ERBB2,eligibility_criteria
NCT04305496,ERBB2,eligibility_criteria
NCT04995003,ERBB2,eligibility_criteria
NCT07100080,EGFR,eligibility_criteria
NCT05101096,ERBB2,eligibility_criteria
NCT06631989,EGFR,eligibility_criteria
NCT05816252,ALK,eligibility_criteria
NCT05816252,EGFR,eligibility_criteria
NCT06838338,KRAS,eligibility_criteria
NCT03778229,EGFR,eligibility_criteria
NCT03778229,MET,eligibility_criteria
NCT04606381,EGFR,eligibility_criteria
NCT06064877,EGFR,eligibility_criteria
NCT07413939,ERBB2,eligibility_criteria
NCT06046495,EGFR,eligibility_criteria
NCT06241807,ALK,eligibility_criteria
NCT06241807,EGFR,eligibility_criteria
NCT06241807,ROS1,eligibility_criteria
NCT07008976,ERBB2,eligibility_criteria
NCT05365178,CDK4,eligibility_criteria
NCT05365178,ERBB2,eligibility_criteria
NCT02876107,ERBB2,eligibility_criteria
NCT05686434,EGFR,eligibility_criteria
NCT05573555,CDK4,eligibility_criteria
NCT05573555,ERBB2,eligibility_criteria
NCT06376084,EGFR,eligibility_criteria
NCT03940703,EGFR,eligibility_criteria
NCT03940703,MET,eligibility_criteria
NCT03904173,ERBB2,eligibility_criteria
NCT06838273,EGFR,eligibility_criteria
NCT05987956,ALK,eligibility_criteria
NCT05987956,EGFR,eligibility_criteria
NCT03833154,EGFR,eligibility_criteria
NCT04305795,EGFR,eligibility_criteria
NCT07209241,EGFR,eligibility_criteria
NCT04974866,EGFR,eligibility_criteria
NCT07523529,EGFR,eligibility_criteria
NCT07523529,ERBB2,eligibility_criteria
NCT07322783,MET,eligibility_criteria
NCT06758557,ALK,eligibility_criteria
NCT06758557,BRAF,eligibility_criteria
NCT06758557,EGFR,eligibility_criteria
NCT06758557,RET,eligibility_criteria
NCT06758557,ROS1,eligibility_criteria
NCT02747004,CDK4,eligibility_criteria
NCT02747004,ERBB2,eligibility_criteria
NCT06667076,EGFR,eligibility_criteria
NCT04858958,EGFR,eligibility_criteria
NCT06417008,EGFR,eligibility_criteria
NCT06417008,MET,eligibility_criteria
NCT06912087,EGFR,eligibility_criteria
NCT05777278,ALK,eligibility_criteria
NCT05777278,EGFR,eligibility_criteria
NCT05777278,MET,eligibility_criteria
NCT05777278,ROS1,eligibility_criteria
NCT07444814,EGFR,eligibility_criteria
NCT06043817,EGFR,eligibility_criteria
NCT06043817,ERBB2,eligibility_criteria
NCT05283226,EGFR,eligibility_criteria
NCT06194448,EGFR,eligibility_criteria
