pmid,source_type,citation_text,asco_abstract_id,year,pubmed_url
20979473,PubMed,"Choi et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20979473
25668228,PubMed,"Denis et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/25668228
15728811,PubMed,"Kobayashi et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15728811
21430269,PubMed,"Sequist et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21430269
23220880,PubMed,"Bose et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23220880
24185512,PubMed,"Toy et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/24185512
22368270,PubMed,"Man et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22368270
18230792,PubMed,"Zhang et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18230792
16618717,PubMed,"Lièvre et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16618717
19794967,PubMed,"Marchetti et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19794967
19223544,PubMed,"Sartore-Bianchi et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19223544
23079656,PubMed,"Sawai et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23079656
25002028,PubMed,"Vora et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25002028
22328973,PubMed,"Hammerman et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/22328973
16730237,PubMed,"Ji et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16730237
15118125,PubMed,"Paez et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/15118125
24457318,PubMed,"Fukihara et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24457318
24636847,PubMed,"Li et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24636847
24658966,PubMed,"Ai et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24658966
24185510,PubMed,"Robinson et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/24185510
24550739,PubMed,"Borad et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24550739
14726387,PubMed,"Smith et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/14726387
12357354,PubMed,"Tse et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/12357354
22541434,PubMed,"Kumar et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22541434
18421059,PubMed,"Hodi et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18421059
17372901,PubMed,"Antonescu et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17372901
16638875,PubMed,"Prenen et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16638875
19029981,PubMed,"Engelman et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/19029981
15758010,PubMed,"Hegi et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15758010
21558396,PubMed,"Tanaka et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21558396
15647370,PubMed,"Kang et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15647370
8674046,PubMed,"Yoshida et al., 1996",,1996,https://pubmed.ncbi.nlm.nih.gov/8674046
20085938,PubMed,"Courtney et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20085938
22698404,PubMed,"Jackson et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22698404
20368538,PubMed,"Wagner et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20368538
22616558,PubMed,"Zhou et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22616558
20421455,PubMed,"Thol et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20421455
21997850,PubMed,"Lin et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/21997850
22033490,PubMed,"Patnaik et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22033490
12000708,PubMed,"Corless et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/12000708
15217946,PubMed,"Boldrini et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/15217946
19934290,PubMed,"Ogino et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19934290
11208838,PubMed,"Schiller et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11208838
23029227,PubMed,"Qian et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23029227
17070615,PubMed,"Gautschi et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17070615
22479427,PubMed,"Carico et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22479427
24662454,PubMed,"Douillard et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24662454
19933982,PubMed,"Dubbink et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19933982
20127344,PubMed,"Bleeker et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20127344
21596855,PubMed,"Green et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21596855
21995386,PubMed,"Papaemmanuil et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21995386
16309541,PubMed,"Thomas et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/16309541
17891190,PubMed,"Jares et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17891190
10547574,PubMed,"Takano et al., 1999",,1999,https://pubmed.ncbi.nlm.nih.gov/10547574
12432043,PubMed,"Keyomarsi et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/12432043
10224221,PubMed,"Donnellan et al., 1999",,1999,https://pubmed.ncbi.nlm.nih.gov/10224221
23111194,PubMed,"Bradly et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23111194
24623981,PubMed,"Ding et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24623981
24729716,PubMed,"Li et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24729716
11585760,PubMed,"Whitman et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11585760
17940205,PubMed,"Whitman et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/17940205
20494930,PubMed,"Thol et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20494930
18528420,PubMed,"Chng et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18528420
15597105,PubMed,"Mascaux et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15597105
20007775,PubMed,"Westhoff et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/20007775
22357840,PubMed,"Liao et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22357840
16489069,PubMed,"Olivier et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16489069
9569050,PubMed,"Berns et al., 1998",,1998,https://pubmed.ncbi.nlm.nih.gov/9569050
23861105,PubMed,"Wu et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23861105
24186003,PubMed,"Lilljebjörn et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24186003
24578576,PubMed,"Honeyman et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24578576
12075054,PubMed,"Rosenwald et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/12075054
18765795,PubMed,"Lenz et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18765795
21343560,PubMed,"Gaidzik et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21343560
25670080,PubMed,"Vidal et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/25670080
16818686,PubMed,"Jackman et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16818686
19157502,PubMed,"Mendiola et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19157502
19666869,PubMed,"Kosmider et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19666869
18464292,PubMed,"Patard et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18464292
23620406,PubMed,"Hakimi et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23620406
21343549,PubMed,"Metzeler et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21343549
9207459,PubMed,"Gascoyne et al., 1997",,1997,https://pubmed.ncbi.nlm.nih.gov/9207459
20601954,PubMed,"Nikoloski et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20601954
21828143,PubMed,"Chou et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21828143
11793370,PubMed,"Schraml et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/11793370
9552022,PubMed,"de Alava et al., 1998",,1998,https://pubmed.ncbi.nlm.nih.gov/9552022
20081860,PubMed,"Morin et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20081860
21796119,PubMed,"Morin et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21796119
24869598,PubMed,"Woyach et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24869598
24265152,PubMed,"Shi et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24265152
22277784,PubMed,"Katayama et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22277784
22440753,PubMed,"Waaler et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22440753
23539443,PubMed,"Lau et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23539443
23779130,PubMed,"Joseph et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23779130
12517791,PubMed,"Hara et al., 2003",,2003,https://pubmed.ncbi.nlm.nih.gov/12517791
25412851,PubMed,"Ohgami et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/25412851
25308295,PubMed,"Shivarov et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/25308295
23960094,PubMed,"Eich et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23960094
23761041,PubMed,"Riabinska et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23761041
20739657,PubMed,"Weston et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20739657
22302096,PubMed,"Sehdev et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22302096
12559175,PubMed,"Anand et al., 2003",,2003,https://pubmed.ncbi.nlm.nih.gov/12559175
25147369,PubMed,"van Essen et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25147369
23797736,PubMed,"Sato et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23797736
23792563,PubMed,"2013, Nature",,2013,https://pubmed.ncbi.nlm.nih.gov/23792563
15630448,PubMed,"Ciampi et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15630448
23612012,PubMed,"Andrulis et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23612012
22274685,PubMed,"Bolton et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22274685
20336784,PubMed,"Nakayama et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20336784
19304957,PubMed,"Ho et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19304957
25014773,PubMed,"Matsuo et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25014773
23341344,PubMed,"Grossmann et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23341344
20840671,PubMed,"Marx et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20840671
21730982,PubMed,"Iida et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21730982
17538160,PubMed,"Temam et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17538160
16943533,PubMed,"Chung et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16943533
14583498,PubMed,"Shinojima et al., 2003",,2003,https://pubmed.ncbi.nlm.nih.gov/14583498
23706910,PubMed,"Warren et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23706910
16254181,PubMed,"Tomlins et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/16254181
20542753,PubMed,"Bodoor et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20542753
20693978,PubMed,"Jamieson et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20693978
19228619,PubMed,"Yan et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19228619
22699455,PubMed,"Krentz et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/22699455
16307017,PubMed,"Krüger et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16307017
15201427,PubMed,"Ströbel et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/15201427
19901104,PubMed,"van den Bent et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19901104
23322234,PubMed,"Burandt et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23322234
22210878,PubMed,"Kridel et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22210878
21670202,PubMed,"Fabbri et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21670202
22650231,PubMed,"Fukahori et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22650231
12727991,PubMed,"Nikiforova et al., 2003",,2003,https://pubmed.ncbi.nlm.nih.gov/12727991
23333114,PubMed,"Kapur et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23333114
16497822,PubMed,"Dowsett et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16497822
23280579,PubMed,"Patani et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23280579
21422407,PubMed,"Bartlett et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21422407
22292935,PubMed,"Shi et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22292935
17700571,PubMed,"Yoshimoto et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17700571
21163703,PubMed,"De Roock et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21163703
11504908,PubMed,"Neshat et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11504908
22753902,PubMed,"Mendler et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22753902
23568491,PubMed,"Wan et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23568491
19584151,PubMed,"Blackford et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19584151
24658004,PubMed,"Jelinic et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24658004
25219713,PubMed,"Diaz et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25219713
25217772,PubMed,"Griewank et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25217772
23955565,PubMed,"Nonoguchi et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23955565
22090360,PubMed,"Skinner et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22090360
8901856,PubMed,"Koch et al., 1996",,1996,https://pubmed.ncbi.nlm.nih.gov/8901856
19941080,PubMed,"Yamasaki et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/19941080
24836762,PubMed,"Bally et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24836762
17215851,PubMed,"Chng et al., 2007",,2007,https://pubmed.ncbi.nlm.nih.gov/17215851
11325447,PubMed,"Alsner et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11325447
21467160,PubMed,"Lindenbergh-van der Plas et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21467160
19040416,PubMed,"Barletta et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19040416
11248153,PubMed,"Slamon et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11248153
15911866,PubMed,"Marty et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15911866
10617473,PubMed,"Bell et al., 1999",,1999,https://pubmed.ncbi.nlm.nih.gov/10617473
25698061,PubMed,"Graham et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/25698061
24915778,PubMed,"Infante et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24915778
24240700,PubMed,"Bajrami et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24240700
