candidate_id,pmid,predicate,intervention,direction,sibling_drug_count,evidence_record_ids
GCA-f4da9306d639108b4e15f523,21575866,associated_with_sensitivity_to,ALECTINIB HYDROCHLORIDE,Sensitivity/Response,1,evidence:37
GCA-5bd8221eb8b9dfbb5e24212c,21948233,associated_with_sensitivity_to,CRIZOTINIB,Sensitivity/Response,1,evidence:38
GCA-90be899196e99f464ad9149b,18923525,associated_with_sensitivity_to,ALK INHIBITOR TAE684,Sensitivity/Response,1,evidence:39
GCA-2be6d910e2133bee4bb24705,24569458,associated_with_sensitivity_to,SORAFENIB,Sensitivity/Response,1,evidence:40
GCA-10c7e14fe7c5454c445ce0a0,24569458,associated_with_sensitivity_to,TRAMETINIB,Sensitivity/Response,1,evidence:41
GCA-6e8963bc8675adadf5e5e638,19671763,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:42
GCA-9b0e9c2133cb8615aabcd225,22745105,associated_with_sensitivity_to,CRENOLANIB,Sensitivity/Response,1,evidence:43
GCA-5a5486d645686ea3a4736e6e,22745105,associated_with_sensitivity_to,CRENOLANIB,Sensitivity/Response,1,evidence:44
GCA-9218df34113b27e9cc1d7259,22745105,associated_with_sensitivity_to,CRENOLANIB,Sensitivity/Response,1,evidence:45
GCA-17421cf267f5fa6f197968db,22745105,associated_with_sensitivity_to,CRENOLANIB,Sensitivity/Response,1,evidence:46
GCA-809626ad079477a7aa4d4b72,22745105,associated_with_sensitivity_to,CRENOLANIB,Sensitivity/Response,1,evidence:47
GCA-694f4188a1058f2065970af3,18923525,associated_with_resistance_to,ALK INHIBITOR TAE684,Resistance,1,evidence:48
GCA-6ba9f58404b8abf163ace2a9,23775962,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:58
GCA-afe0a257e390d808b05cdc17,23031422,associated_with_sensitivity_to,DABRAFENIB,Sensitivity/Response,1,evidence:73
GCA-b5f467c0e765e3328418d03e,21422803,associated_with_resistance_to,MOTESANIB,Resistance,1,evidence:75
GCA-8a71bcb217af86e0c55a0f09,21422803,associated_with_resistance_to,MOTESANIB,Resistance,1,evidence:76
GCA-067667524b7ac7cf9b4dd516,23056499,associated_with_sensitivity_to,JAK2 INHIBITOR AZD1480,Sensitivity/Response,1,evidence:77
GCA-ff97755cefae20a730170d54,24576830,associated_with_resistance_to,TRAMETINIB,Resistance,2,evidence:86
GCA-218df7cf5ce92ddd1d4fa49d,24576830,associated_with_resistance_to,MIRDAMETINIB,Resistance,2,evidence:86
GCA-482c76dfb20c23dc122eaf30,23325582,associated_with_resistance_to,PANITUMUMAB,Resistance,1,evidence:88
GCA-5b1c1d95576858bb1c7bf2c7,19001320,associated_with_sensitivity_to,PANITUMUMAB,Sensitivity/Response,2,evidence:89
GCA-b92f607623ce3cf5770a1815,19001320,associated_with_sensitivity_to,SORAFENIB,Sensitivity/Response,2,evidence:89
GCA-44284d707401595a1f2327f3,24576830,associated_with_resistance_to,VEMURAFENIB,Resistance,1,evidence:90
GCA-7788fdf7db3cb17b6076aafe,23524406,associated_with_resistance_to,DABRAFENIB,Resistance,1,evidence:91
GCA-e2065bf48374fce760200059,21098728,associated_with_resistance_to,SELUMETINIB SULFATE,Resistance,1,evidence:92
GCA-8f409fb9b3716e20d6d8d29a,23020132,associated_with_sensitivity_to,DABRAFENIB,Sensitivity/Response,2,evidence:93
GCA-c38c9ddc2e7c7fd97b230ed4,23020132,associated_with_sensitivity_to,TRAMETINIB,Sensitivity/Response,2,evidence:93
GCA-042c494ccb45fc386a575bbb,23463675,associated_with_sensitivity_to,DABRAFENIB,Sensitivity/Response,1,evidence:94
GCA-da9bf04545209525dc8a819b,24583796,associated_with_sensitivity_to,TRAMETINIB,Sensitivity/Response,2,evidence:95
GCA-a02968d302b07144cbfa43f2,24583796,associated_with_sensitivity_to,DABRAFENIB,Sensitivity/Response,2,evidence:95
GCA-cdf9d1b233fa87e1b58d45d7,23845441,associated_with_sensitivity_to,PLX-4720,Sensitivity/Response,1,evidence:96
GCA-ee01b64eec470d79d2492963,23812671,associated_with_sensitivity_to,NUTLIN-3,Sensitivity/Response,2,evidence:97
GCA-33489893b869636aa78bfee6,23812671,associated_with_sensitivity_to,PLX-4720,Sensitivity/Response,2,evidence:97
GCA-4b73719bbb96430087499b2d,22180495,associated_with_sensitivity_to,CAPECITABINE,Sensitivity/Response,2,evidence:98
GCA-a7199796398126d86e7d7540,22180495,associated_with_sensitivity_to,VEMURAFENIB,Sensitivity/Response,2,evidence:98
GCA-4569b958c43492c223d97e1b,22180495,associated_with_sensitivity_to,VEMURAFENIB,Sensitivity/Response,1,evidence:99
GCA-3653b57aa4dacbf1996d217a,19965647,associated_with_sensitivity_to,TRETINOIN,Sensitivity/Response,1,evidence:122
GCA-d48d02574cafd419ed0d3598,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:123
GCA-a251a4856efd2b81af1f8ad7,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:124
GCA-a949e12d645f514c175bde5d,22072639,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:125
GCA-a9c50ed51128e97f49c5a271,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:126
GCA-3512372b04f9837f3d38d9a6,19965647,associated_with_resistance_to,TRETINOIN,Resistance,1,evidence:127
GCA-4033569aa3146bafbee03d8c,15626738,associated_with_resistance_to,DAUNORUBICIN HYDROCHLORIDE,Resistance,1,evidence:130
GCA-5afe6cc611a1f86a1daf984d,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:134
GCA-0882160b14295dc05c6a1f0d,18202412,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:135
GCA-c0b1287233926a226ce27492,20978259,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:136
GCA-c3a28c3393c0ffd5519f8bbd,19965647,associated_with_sensitivity_to,TRETINOIN,Sensitivity/Response,1,evidence:137
GCA-6a796f8dfab169d9e0112896,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:138
GCA-995bedc8cd2105406368ae2f,18591546,associated_with_resistance_to,DAUNORUBICIN HYDROCHLORIDE,Resistance,2,evidence:139
GCA-252dbc1c80b5e6a72f163bd5,18591546,associated_with_resistance_to,CYTARABINE HYDROCHLORIDE,Resistance,2,evidence:139
GCA-89931b5334c9d8454bbc9165,21575866,associated_with_sensitivity_to,ALECTINIB HYDROCHLORIDE,Sensitivity/Response,1,evidence:141
GCA-a333feb017815674fae031a9,18923525,associated_with_sensitivity_to,ALK INHIBITOR TAE684,Sensitivity/Response,1,evidence:142
GCA-955bd46abd7d624688575ae5,22072639,associated_with_sensitivity_to,CRIZOTINIB,Sensitivity/Response,1,evidence:143
GCA-6450e55e34ff530411a2f30d,23558953,associated_with_sensitivity_to,PD173074,Sensitivity/Response,1,evidence:144
GCA-ec743136113141f37786b9da,20978259,associated_with_sensitivity_to,CETUXIMAB,Sensitivity/Response,1,evidence:145
GCA-db802cdc04457dbd37223563,19059939,associated_with_sensitivity_to,TRETINOIN,Sensitivity/Response,1,evidence:146
GCA-f5a1d5dbba8b7b1f1a40f342,22417203,associated_with_sensitivity_to,DAUNORUBICIN HYDROCHLORIDE,Sensitivity/Response,1,evidence:147
GCA-5587f4f1bb4eea5ae52f607e,24797300,associated_with_sensitivity_to,VALPROIC ACID,Sensitivity/Response,1,evidence:148
GCA-0eb8b658cdb6913191f9342e,21719597,associated_with_sensitivity_to,TRETINOIN,Sensitivity/Response,1,evidence:149
GCA-7a255e76d7a8bf2430b03820,15659725,associated_with_sensitivity_to,ETOPOSIDE PHOSPHATE,Sensitivity/Response,3,evidence:153
GCA-f9777270efd5a15524749207,15659725,associated_with_sensitivity_to,DAUNORUBICIN HYDROCHLORIDE,Sensitivity/Response,3,evidence:153
GCA-5c02aa839720b45f6c75ffe2,15659725,associated_with_sensitivity_to,CYTARABINE HYDROCHLORIDE,Sensitivity/Response,3,evidence:153
GCA-f24fe23ccf65ca271936cee9,19966866,associated_with_sensitivity_to,SIROLIMUS,Sensitivity/Response,1,evidence:154
GCA-5dea6f6d4fcdf023ed8fda0a,22923433,associated_with_sensitivity_to,EVEROLIMUS,Sensitivity/Response,1,evidence:155
GCA-a71c89a1bce57cc3ecc2b10b,23346317,associated_with_sensitivity_to,OLAPARIB,Sensitivity/Response,1,evidence:211
GCA-b34a504e4ffe617291c6f379,23346317,associated_with_sensitivity_to,OLAPARIB,Sensitivity/Response,1,evidence:212
GCA-a11481d166cfa1bf55a801a8,24736073,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,2,evidence:229
GCA-db6e9a2211f7be978619e534,24736073,associated_with_sensitivity_to,ERLOTINIB,Sensitivity/Response,2,evidence:229
GCA-3753f47a840ad575af6f9dda,23888070,associated_with_sensitivity_to,AKT INHIBITOR MK2206,Sensitivity/Response,1,evidence:231
GCA-03e25946bf2d0e938779401f,12476305,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:232
GCA-474d8644167a0262e61ffb8c,15194504,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:233
GCA-2c5519641fb105a31bbaf2d1,20537386,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:234
GCA-2c5b7727544f493570f10515,15194504,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:235
GCA-8334ded7551a1a53645e9d2c,20979473,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:236
GCA-a447f7155e466be03be2a32a,20979473,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:237
GCA-be05890cda3c270b4321ce22,25668228,associated_with_resistance_to,ERLOTINIB,Resistance,1,evidence:238
GCA-d0f04536d4de923ba3c93761,15728811,associated_with_resistance_to,GEFITINIB,Resistance,1,evidence:239
GCA-9b75f041be7bf842d14006ea,21430269,associated_with_resistance_to,DACOMITINIB,Resistance,1,evidence:240
GCA-6303aa80e6ab6ff8429bc416,23220880,associated_with_resistance_to,LAPATINIB,Resistance,1,evidence:241
GCA-bbb32fa093177bbeee4cd823,22368270,associated_with_resistance_to,SORAFENIB,Resistance,1,evidence:247
GCA-804858aca9896c3e5553d870,18230792,associated_with_resistance_to,SORAFENIB,Resistance,1,evidence:248
GCA-6e2e82fdd7a967ba7cfde44d,16954519,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:249
GCA-1439b5908ed2d2a3dd739850,16618717,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:250
GCA-228772b99938999e1261963c,19794967,associated_with_resistance_to,ERLOTINIB,Resistance,2,evidence:251
GCA-a65c8d300ea57a825d96bfac,19794967,associated_with_resistance_to,GEFITINIB,Resistance,2,evidence:251
GCA-bf0f00bd04dfa54d6dfcbcb4,19223544,associated_with_resistance_to,CETUXIMAB,Resistance,2,evidence:258
GCA-19ca35a2fc49c0d6bc355d72,19223544,associated_with_resistance_to,PANITUMUMAB,Resistance,2,evidence:258
GCA-b2e79679c1e387ea1b6362ea,12476305,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:259
GCA-f24ae143af45f099dd05820c,20537386,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:260
GCA-86866d1358fde4d83265344f,20537386,associated_with_sensitivity_to,NILOTINIB,Sensitivity/Response,2,evidence:261
GCA-60e749343c577636c3309c0f,20537386,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,2,evidence:261
GCA-ffe5c124fb0b3bb1335a4014,20979473,associated_with_sensitivity_to,CRIZOTINIB,Sensitivity/Response,1,evidence:262
GCA-456f0f905933495c3dd1e714,23079656,associated_with_sensitivity_to,PALBOCICLIB,Sensitivity/Response,1,evidence:263
GCA-acf15c5298da02fcbb72062e,25002028,associated_with_sensitivity_to,ALPELISIB,Sensitivity/Response,1,evidence:264
GCA-255c7ec65008bfadf01bf8b2,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:266
GCA-b9cc4d6fb178f73a7eb90453,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:267
GCA-6d7281c4301376428ec22aa9,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:268
GCA-f1c7611f7ce37cffe340b8c4,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:269
GCA-d853e6ffca67e50120ec826b,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:270
GCA-8f043573ae6ee33529f7135c,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,1,evidence:271
GCA-3a84b1f6a9149ead1b71bce8,22328973,associated_with_sensitivity_to,ERLOTINIB,Sensitivity/Response,2,evidence:272
GCA-09717e066cdde881723fb9c0,22328973,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,2,evidence:272
GCA-8a16ad9cb6c3e64b759e3bac,16730237,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,1,evidence:273
GCA-f45a85a3505a1aa9348c51ee,15118125,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,1,evidence:274
GCA-dba5849c9f48c6a86a98109f,24457318,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,2,evidence:275
GCA-7723091232d1ec0780353fb3,24457318,associated_with_sensitivity_to,ERLOTINIB,Sensitivity/Response,2,evidence:275
GCA-e07f8ff7e828abca00200ca8,15118125,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,1,evidence:276
GCA-2728c94d2aa8bc737f698613,24636847,associated_with_sensitivity_to,ERLOTINIB,Sensitivity/Response,1,evidence:277
GCA-7d97ae6ee40ef064ee97cefa,24658966,associated_with_sensitivity_to,STAUROSPORINE,Sensitivity/Response,1,evidence:278
GCA-f7479c94af90ce689f3414de,23220880,associated_with_sensitivity_to,LAPATINIB,Sensitivity/Response,2,evidence:279
GCA-e7a072e2081d4efed58e220d,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,2,evidence:279
GCA-ce4ec077f8170fa695abf958,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:280
GCA-735b681becda8e0cd5918fcc,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:281
GCA-0d48b79d81c9dfcc8289762e,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:282
GCA-89a4aa4f034d45282fb72791,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:283
GCA-47f8574288cb7de0148587ae,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:284
GCA-7edc72fc81ab3e9ccd48609c,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:285
GCA-2af58bfe7c1e257c415fa3da,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,2,evidence:286
GCA-35d51645d600cf9867cea6e3,23220880,associated_with_sensitivity_to,LAPATINIB,Sensitivity/Response,2,evidence:286
GCA-c2eb939cda0c4c135de52229,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:287
GCA-dc27d063a234da8946a70dee,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:288
GCA-10d3bb014b7db2b868e4c2fa,23220880,associated_with_sensitivity_to,NERATINIB MALEATE,Sensitivity/Response,1,evidence:289
GCA-a8e16357ab96a23e9272151f,24185510,associated_with_sensitivity_to,FULVESTRANT,Sensitivity/Response,2,evidence:290
GCA-2ee724b980e4e45d15c3aa83,24185510,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:290
GCA-833e725ea51d525bd632b9bf,24185510,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:291
GCA-36bdaa01faab7cae651ee4af,24185510,associated_with_sensitivity_to,FULVESTRANT,Sensitivity/Response,2,evidence:291
GCA-42196ed77bda6083d6c47014,24185510,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:292
GCA-50f66d189b501d8045a845e2,24185510,associated_with_sensitivity_to,FULVESTRANT,Sensitivity/Response,2,evidence:292
GCA-fe8b0ad23b03ebace373d1d4,24185510,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:293
GCA-7e3f9fb5af760ef6c4467fca,24185510,associated_with_sensitivity_to,FULVESTRANT,Sensitivity/Response,2,evidence:293
GCA-b0e3b67d4c02d468baecfc50,24185510,associated_with_sensitivity_to,FULVESTRANT,Sensitivity/Response,2,evidence:294
GCA-fc31c1b8c8a3faf23afff2bc,24185510,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:294
GCA-ee59492727bcf1f97817c46c,24550739,associated_with_sensitivity_to,PONATINIB,Sensitivity/Response,1,evidence:295
GCA-300ddf930281413a946f6140,24550739,associated_with_sensitivity_to,PONATINIB,Sensitivity/Response,2,evidence:296
GCA-36bb43104f2693b4727364f0,24550739,associated_with_sensitivity_to,PAZOPANIB HYDROCHLORIDE,Sensitivity/Response,2,evidence:296
GCA-4b10b3b32f3cb11d3fd96cde,14726387,associated_with_sensitivity_to,LESTAURTINIB,Sensitivity/Response,1,evidence:297
GCA-8c7443be5dcf42bbf73e547b,18230792,associated_with_sensitivity_to,SORAFENIB,Sensitivity/Response,1,evidence:298
GCA-67d165f266460849ed6fe08f,12357354,associated_with_sensitivity_to,TYRPHOSTIN AG 1296,Sensitivity/Response,1,evidence:299
GCA-9ecca656c46922289202949d,22541434,associated_with_sensitivity_to,BORTEZOMIB,Sensitivity/Response,2,evidence:301
GCA-634f4452f05d795462323b61,22541434,associated_with_sensitivity_to,FASUDIL HYDROCHLORIDE,Sensitivity/Response,2,evidence:301
GCA-2332bfffa69a4852f3acfb2b,18421059,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:302
GCA-ccaf23c2217c8f3e15575b7f,17372901,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,3,evidence:303
GCA-6bc5eeb4a4a9442fe7c59099,17372901,associated_with_sensitivity_to,NILOTINIB,Sensitivity/Response,3,evidence:303
GCA-dd781b348e118254adda99c5,17372901,associated_with_sensitivity_to,DASATINIB,Sensitivity/Response,3,evidence:303
GCA-6c011be9861449ed12ff03e3,16638875,associated_with_sensitivity_to,SUNITINIB,Sensitivity/Response,1,evidence:304
GCA-734dbab2a9a5439895808273,19029981,associated_with_sensitivity_to,SELUMETINIB SULFATE,Sensitivity/Response,2,evidence:305
GCA-8880ee8deffb79937999dc50,19029981,associated_with_sensitivity_to,DACTOLISIB,Sensitivity/Response,2,evidence:305
GCA-1975b87e93d1fd2b953c2a1c,20978259,associated_with_sensitivity_to,CETUXIMAB,Sensitivity/Response,1,evidence:306
GCA-94579fba0d8876752375a877,15758010,associated_with_sensitivity_to,TEMOZOLOMIDE,Sensitivity/Response,1,evidence:307
GCA-d5c8e97e0ed986ada85639f7,11070098,associated_with_sensitivity_to,CARMUSTINE,Sensitivity/Response,1,evidence:308
GCA-52002f160bb737a2574e9e99,11070098,associated_with_sensitivity_to,O6-BENZYLGUANINE,Sensitivity/Response,1,evidence:309
GCA-2ce0e5b56f7d288f8c735b08,21558396,associated_with_sensitivity_to,IZORLISIB,Sensitivity/Response,1,evidence:310
GCA-246e0a6a10e6964d9e380123,15647370,associated_with_sensitivity_to,SIROLIMUS,Sensitivity/Response,1,evidence:311
GCA-29a608056d2d9467eacaf96b,21558396,associated_with_sensitivity_to,IZORLISIB,Sensitivity/Response,1,evidence:314
GCA-9215c39c6f62ed23499ef6ff,8674046,associated_with_sensitivity_to,TRETINOIN,Sensitivity/Response,1,evidence:316
GCA-a0428cb14434893e02fe1e54,20085938,associated_with_sensitivity_to,MTOR INHIBITOR,Sensitivity/Response,1,evidence:317
GCA-d148c7e53a5cd9d3a1441b79,22698404,associated_with_sensitivity_to,DOXORUBICIN HYDROCHLORIDE,Sensitivity/Response,1,evidence:319
GCA-7d98125a148068f7520c8431,22923433,associated_with_sensitivity_to,EVEROLIMUS,Sensitivity/Response,1,evidence:320
GCA-40581cb0b495446035afd67f,20537386,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:344
GCA-876dd308475edeb47f45d246,19223544,associated_with_resistance_to,PANITUMUMAB,Resistance,2,evidence:387
GCA-5f4c0beba52b9bce2b18cb93,19223544,associated_with_resistance_to,CETUXIMAB,Resistance,2,evidence:387
GCA-b894c6ac4481c4bab019b7ae,19223544,associated_with_resistance_to,PANITUMUMAB,Resistance,2,evidence:388
GCA-0626313ae1b6b97e5fc0fc9b,19223544,associated_with_resistance_to,CETUXIMAB,Resistance,2,evidence:388
GCA-557dc1e1ef9bb14430a1342f,9569050,associated_with_sensitivity_to,DOXORUBICIN HYDROCHLORIDE,Sensitivity/Response,1,evidence:399
GCA-93e1d2c2650cbce7c8e5508d,24186003,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,2,evidence:403
GCA-a06c8ed5fb00a70bd6ae7d2b,24186003,associated_with_sensitivity_to,GW-2580,Sensitivity/Response,2,evidence:403
GCA-860a8aa5c0b731e86cb26c2b,21343560,associated_with_resistance_to,CYTARABINE HYDROCHLORIDE,Resistance,1,evidence:411
GCA-dd184f8fbed3104c6fb57da5,25670080,associated_with_sensitivity_to,LINSITINIB,Sensitivity/Response,1,evidence:412
GCA-3f46c7d5e57d92fcb205d5bb,16818686,associated_with_sensitivity_to,ERLOTINIB,Sensitivity/Response,2,evidence:413
GCA-81c2c709e3d3c0af7be0ba0b,16818686,associated_with_sensitivity_to,GEFITINIB,Sensitivity/Response,2,evidence:413
GCA-8d4597b9740d114265f3c6fc,25670080,associated_with_sensitivity_to,LINSITINIB,Sensitivity/Response,2,evidence:414
GCA-23e5b48adb27a40885f6ff29,25670080,associated_with_sensitivity_to,CABAZITAXEL,Sensitivity/Response,2,evidence:414
GCA-493a1c9c8eadea995d62a36a,24869598,associated_with_resistance_to,IBRUTINIB,Resistance,1,evidence:436
GCA-994707cfc52238662aa83c48,24265152,associated_with_resistance_to,VEMURAFENIB,Resistance,1,evidence:439
GCA-010315d07ebd444fda7e0521,22277784,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:440
GCA-1a8335b64f587664ce5ba4a3,22277784,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:441
GCA-9dd6ab5c5744765fb10946d3,22277784,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:442
GCA-7c138ef7df2d645328883612,22277784,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:443
GCA-da306e9148d7f94ea4cac731,22277784,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:444
GCA-586c7dc838d027cec16e171f,23779130,associated_with_resistance_to,APALUTAMIDE,Resistance,2,evidence:447
GCA-711271d4f1ac20bee424a069,23779130,associated_with_resistance_to,ENZALUTAMIDE,Resistance,2,evidence:447
GCA-b77b139a0055adc7d80d8034,12517791,associated_with_resistance_to,BICALUTAMIDE,Resistance,1,evidence:448
GCA-d01a7e29dfc50372f2f5e9e5,23960094,associated_with_sensitivity_to,TEMOZOLOMIDE,Sensitivity/Response,1,evidence:452
GCA-b5007f0e3d063da814bfe388,23960094,associated_with_sensitivity_to,TEMOZOLOMIDE,Sensitivity/Response,1,evidence:453
GCA-b203d6dee2b937c097cb6d77,23761041,associated_with_sensitivity_to,NU-7441,Sensitivity/Response,2,evidence:454
GCA-8613fe1ab860acb93de96a75,23761041,associated_with_sensitivity_to,KU-0060648,Sensitivity/Response,2,evidence:454
GCA-7bc15c5010e8bf9f19bde77a,20739657,associated_with_sensitivity_to,OLAPARIB,Sensitivity/Response,1,evidence:455
GCA-57ea66c12b5ac35459b43ceb,22302096,associated_with_sensitivity_to,ALISERTIB,Sensitivity/Response,2,evidence:456
GCA-471b2b578379c9eaf47d6265,22302096,associated_with_sensitivity_to,CISPLATIN,Sensitivity/Response,2,evidence:456
GCA-18f7f5d477b9b04b99a75192,12559175,associated_with_resistance_to,PACLITAXEL,Resistance,1,evidence:457
GCA-3fbf390191f0738af60e0efa,15201427,associated_with_sensitivity_to,IMATINIB,Sensitivity/Response,1,evidence:486
GCA-855ce10193b989fc84d3fb11,23280579,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,1,evidence:501
GCA-e0f2167fcec63713f3960b81,21422407,associated_with_sensitivity_to,EXEMESTANE,Sensitivity/Response,2,evidence:502
GCA-dbf3ad3f3220a66627a05dc5,21422407,associated_with_sensitivity_to,TAMOXIFEN,Sensitivity/Response,2,evidence:502
GCA-ad3cf795c7659a0e033d2117,21163703,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:506
GCA-beaeab7582ea6c96f959acb0,11504908,associated_with_sensitivity_to,TEMSIROLIMUS,Sensitivity/Response,1,evidence:507
GCA-a438686795db2ae01b46ecaa,11248153,associated_with_sensitivity_to,TRASTUZUMAB,Sensitivity/Response,1,evidence:528
